,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Y1_Axis.Temperature_Y_Slide,Label
23,,-3.5953125000000004,461.504,177.42823529411766,0.5,951.5,1.4,1.1666666666666667,,,0.5,0.38,0.5,0.5,-281.09090909090907,-280.09125,15.583333333333334,2019-12-09 11:51:04.400,0.0,0.0,425.33,0.15,,,,72.49,,-
24,,-9.587437500000002,78.33339999999998,177.91882352941175,0.5454545454545454,951.4285714285714,0.5,0.6666666666666666,,,0.5,0.5111111111111112,5.333333333333333,0.75,-28.818181818181817,-280.00937500000003,19.11111111111111,2019-12-09 11:51:07.805,-34.512,67.5,440.33,0.16666666666666666,,,,,,-
25,3.5,-7.669866666666667,-0.15533333333333607,199.58823529411765,0.42857142857142855,951.5,1.3333333333333333,0.0,,,0.6,0.2875,4.0,0.6666666666666666,111.0,-280.12812500000007,21.9,2019-12-09 11:51:11.209,-113.687,3343.5,454.03,0.15000000000000002,,,,,,-
26,3.5,-4.261166666666664,481.3774,171.3077777777778,0.5,951.5,1.0,0.8,26.255,,0.5,0.4633333333333333,11.75,1.0,-196.63636363636363,-280.154375,19.0,2019-12-09 11:51:14.607,277.4506666666667,2278.6666666666665,466.78000000000003,0.13333333333333333,176.0,-382.66,,,,-
27,3.8,-14.663000000000002,356.02322222222233,174.3211764705882,0.5,951.5,0.5,0.5,26.255,,0.0,0.3985714285714286,1.6,1.75,65.9,-276.5478571428571,14.5,2019-12-09 11:51:18.293,251.736,-17264.5,372.28999999999996,0.15000000000000002,2158.0,-370.425,56.85733333333334,,,-
28,,-12.407176470588237,-156.04500000000002,182.43764705882356,0.5,951.5,1.3333333333333333,1.0,26.255,,0.5,0.38249999999999995,5.333333333333333,0.6666666666666666,139.66666666666666,-280.18500000000006,21.5,2019-12-09 11:51:21.842,-203.013,721.5,365.21500000000003,0.2,,,,,,-
29,3.5,-2.2558235294117637,282.0002999999999,185.92055555555555,0.5,951.5,1.1428571428571428,1.0,,,0.5,0.21875,6.0,0.625,29.454545454545453,-275.44705882352946,19.692307692307693,2019-12-09 11:51:25.224,216.547,4738.0,379.0,0.15000000000000002,,,,,,-
30,,-10.957000000000003,478.3932000000001,184.69470588235296,0.5555555555555556,951.5714285714286,1.3333333333333333,1.0,,0.06666666666666667,0.5,0.5537500000000001,0.5,0.8,-272.90909090909093,-278.586,17.333333333333332,2019-12-09 11:51:28.819,0.0,0.0,395.33,0.15,,,,,,-
31,,-14.381187500000003,120.67070000000001,185.1864705882353,0.5,951.5,1.0,0.5,26.255,0.03333333333333333,0.5,0.4475,4.0,0.6666666666666666,-58.54545454545455,-280.01,16.5,2019-12-09 11:51:32.230,-11.504,7.0,410.33,0.05,,,,,,-
32,3.5,-1.127882352941177,-56.5741111111111,185.6794117647059,0.4444444444444444,951.4285714285714,0.5,1.0,26.255,0.06666666666666667,0.5,0.35333333333333333,3.5,0.6666666666666666,50.2,-280.11875000000003,20.75,2019-12-09 11:51:35.612,-175.2675,2775.0,424.44,0.05,,,,,,-
33,3.5,-15.5795,520.772111111111,177.395,0.5,951.5,1.75,0.0,26.26,0.05,0.5,0.5642857142857143,10.5,0.875,-200.77777777777777,-280.3,19.083333333333332,2019-12-09 11:51:39.040,265.27000000000004,3371.3333333333335,437.3033333333333,0.05,,,,,,-
34,,-11.27917647058824,244.51219999999995,187.9335294117647,0.5,951.5,1.3333333333333333,0.75,26.252,0.05,0.5,0.42888888888888893,1.0,0.8333333333333334,-246.3,-278.04266666666666,15.0,2019-12-09 11:51:42.675,0.0,0.0,455.33,0.05,,,,72.48,,-
35,,-14.663058823529408,-119.73820000000003,167.25,0.5454545454545454,951.5714285714286,1.0,1.0,26.25714285714286,0.05,0.5,0.3157142857142857,7.5,0.75,139.8181818181818,-280.04375,21.9,2019-12-09 11:51:46.037,-195.569,721.5,470.21500000000003,0.05,,,,,,-
36,3.75,-4.261166666666666,223.99639999999994,191.8247368421052,0.45454545454545453,951.5,1.0,0.75,26.255,0.05,0.5,0.5429999999999999,30.166666666666668,2.5555555555555554,50.18181818181818,-275.42823529411766,20.071428571428573,2019-12-09 11:51:49.423,349.85875000000004,-7496.5,378.5725,0.05,1503.6666666666667,-357.2966666666667,42.1295,,,-
37,4.0,-13.182687500000002,474.06981818181816,172.50411764705882,0.5,951.5,1.0,1.0,26.255,0.03333333333333333,0.5,0.4075,0.5,0.6,-237.1,-280.1125,17.272727272727273,2019-12-09 11:51:53.205,0.0,14.5,365.33,0.05,,,,,,-
38,,-13.53511764705883,156.8533,172.99588235294118,0.5454545454545454,951.4444444444445,1.0,0.0,,0.05,1.0,0.25666666666666665,1.2,0.7142857142857143,17.5,-280.14625,17.09090909090909,2019-12-09 11:51:56.634,-5.4135,0.0,380.33,0.05,,,,,,-
39,3.5,-4.511823529411766,-49.33981818181825,194.66352941176473,0.42857142857142855,951.5555555555555,1.3333333333333333,0.5,,0.06000000000000001,0.5,0.325,2.5,0.6666666666666666,200.33333333333334,-280.11500000000007,22.6,2019-12-09 11:52:00.054,-175.9445,2775.0,394.44,0.05,,,,,,-
40,3.5,-3.3838823529411752,518.4926666666667,166.38166666666666,0.5,951.4285714285714,0.3333333333333333,1.2,,0.05,0.3333333333333333,0.43499999999999994,10.25,0.7777777777777778,-129.72727272727272,-280.30125000000004,20.5,2019-12-09 11:52:03.434,262.112,3371.3333333333335,407.3033333333333,0.05,,,,,,-
41,,-7.895470588235295,215.84063636363632,175.74470588235295,0.5,951.5,2.0,0.0,,0.05,0.5,0.475,0.75,0.5,-35.0,-278.1813333333333,16.0,2019-12-09 11:52:07.033,0.0,0.0,425.33,0.05,,,,,,-
42,,-13.182687500000004,-189.4092222222223,176.23764705882354,0.5,951.5714285714286,1.0,1.0,,0.05,,0.5325000000000001,8.0,0.6666666666666666,150.63636363636363,-280.058125,22.77777777777778,2019-12-09 11:52:10.422,-246.322,939.0,440.15999999999997,0.10000000000000002,,,,,,-
43,3.5,-11.279235294117647,258.05945454545457,183.93294117647062,0.5,951.5,1.4,1.0,,0.05,0.5,0.5488888888888889,15.0,0.5714285714285714,89.9,-273.703125,22.3,2019-12-09 11:52:13.829,216.99799999999996,4738.0,454.0,0.05,,,,,,-
44,,-4.793749999999999,477.27430000000004,178.4929411764706,0.5714285714285714,951.5,1.0,0.5,,0.05,0.5,0.37875000000000003,0.5,1.1666666666666667,-297.9166666666667,-280.09875000000005,16.416666666666668,2019-12-09 11:52:17.423,0.0,0.0,470.33,0.05,,,,,,-
45,4.0,-6.767647058823531,113.95649999999998,182.37882352941173,0.45454545454545453,951.4444444444445,1.625,0.8,,0.05,0.5,0.4477777777777777,8.4,1.2222222222222223,32.333333333333336,-278.38000000000005,17.363636363636363,2019-12-09 11:52:20.821,1058.8243333333332,-11960.666666666666,380.55499999999995,0.05,1495.0,-341.46000000000004,32.196333333333335,,,-
46,3.5,-11.9843125,-23.567727272727304,180.7523529411765,0.5714285714285714,951.5,1.3333333333333333,0.5,,0.03333333333333333,0.5,0.42777777777777776,3.75,0.6666666666666666,219.25,-280.2637500000001,22.5,2019-12-09 11:52:24.411,-184.065,2775.0,364.44,0.05,,,,,,-
47,3.5,-7.456944444444449,393.22133333333335,172.47222222222223,0.5,951.5,1.0,0.8333333333333334,,0.05,0.5,0.41888888888888887,4.4,0.75,-168.5,-280.29375000000005,18.416666666666668,2019-12-09 11:52:27.817,275.195,3180.3333333333335,377.08666666666664,0.05,,,,72.47,,-
48,,-13.535117647058822,253.65099999999995,183.01117647058823,0.42857142857142855,951.5,1.25,1.0,,0.06666666666666667,0.5,0.64625,0.75,0.5,-180.8181818181818,-278.17199999999997,16.0,2019-12-09 11:52:31.440,0.0,0.0,395.33,0.05,,,,,,-
49,,-16.7779375,-178.2188888888889,162.3264705882353,0.5,951.5555555555555,0.5,0.5,,0.05,0.5,0.58,7.5,0.6666666666666666,225.5,-280.075,21.181818181818183,2019-12-09 11:52:34.844,-259.8565,1185.0,410.09000000000003,0.05,,,,,,-
50,3.5,-8.52227777777778,307.7384545454546,182.28,0.5,951.4545454545455,1.25,0.6,,0.05,0.6666666666666666,0.36625,9.0,0.75,-43.583333333333336,-275.4482352941177,20.692307692307693,2019-12-09 11:52:38.209,212.48666666666668,4563.333333333333,423.69,0.1,,,,,,-
51,,-5.992125000000004,457.981,185.76117647058823,0.5,951.5714285714286,1.75,1.2,,0.03333333333333333,0.4,0.45222222222222225,0.5,0.7142857142857143,-178.0,-280.089375,16.0,2019-12-09 11:52:41.824,0.0,0.0,440.33,0.04,,,,,,-
