,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.C1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
14,14,6.333333333333332,17.25726666666667,357.4740000000001,173.54833333333335,0.7391304347826086,317.3333333333333,2.5,0.6,26.515,,0.07692307692307693,0.05714285714285715,0.4444444444444444,0.22058823529411764,4477.0,429.07,7.666666666666668,1.0,19.922857142857143,-41.53846153846154,-312.35399999999987,17.53846153846154,2019-12-16 07:51:47.619,-225.34400000000002,,,,,i.O.,i.O.,i.O.,22,15
15,15,7.0,21.158413793103453,113.43109090909093,172.20571428571427,0.8666666666666667,317.14285714285717,2.0,1.25,,,0.10000000000000002,0.04,0.5714285714285714,0.15647058823529414,0.0,440.33,0.4,0.75,19.930000000000003,312.72727272727275,-314.99352941176465,19.33333333333333,2019-12-16 07:51:54.815,,,,,,i.O.,i.O.,i.O.,22,16
16,16,,23.169500000000006,25.28238888888889,177.43527777777774,0.6666666666666666,317.1111111111111,2.0,0.6666666666666666,26.48,,0.10909090909090913,0.05,0.4,0.15437499999999998,1213.3333333333333,455.14,8.0,0.5,,31.45454545454545,-315.0161764705883,16.09090909090909,2019-12-16 07:52:01.820,175.49333333333337,,,,,i.O.,i.O.,i.O.,22,17
17,17,,26.022964285714288,103.20133333333334,185.1769444444444,0.9090909090909092,317.2857142857143,1.6666666666666667,0.0,26.476,74.68,0.08333333333333333,0.05,0.5454545454545454,0.16368421052631574,-5760.0,467.77,9.5,3.6666666666666665,,-191.45454545454547,-311.8255882352941,16.076923076923073,2019-12-16 07:52:09.024,0.0,,,1440.0,-397.04,i.O.,i.O.,i.O.,22,18
18,18,6.5,21.0922,275.0996,182.9194444444444,0.9411764705882352,317.2,2.333333333333333,1.2,,,0.10000000000000003,0.06666666666666668,0.5,0.1688235294117647,-12282.5,359.135,6.5,1.0,,201.72727272727272,-314.9988235294117,22.8,2019-12-16 07:52:16.223,926.1893333333335,,44.526666666666664,1535.5,-383.78,i.O.,i.O.,i.O.,22,19
19,19,6.5,19.174777777777788,204.38191666666668,190.66694444444443,0.7142857142857143,317.1111111111111,2.333333333333333,0.0,,,0.0842105263157895,0.04,0.42857142857142855,0.1888888888888889,3073.5,364.245,2.75,0.6,,25.72727272727273,-314.99294117647065,17.916666666666668,2019-12-16 07:52:23.452,34.512,,,,,i.O.,i.O.,i.O.,22,20
20,20,6.5,16.334074074074074,378.7359333333334,168.41138888888887,0.8260869565217391,317.5,1.6666666666666667,0.8333333333333334,26.43,,0.0866666666666667,0.1,0.5555555555555556,0.18833333333333327,2037.666666666667,381.4,12.5,0.8,,-66.0625,-311.8202941176471,14.090909090909092,2019-12-16 07:52:30.624,-176.62099999999998,,,,,i.O.,i.O.,i.O.,22,21
21,21,6.333333333333332,17.937612903225805,-11.811999999999998,176.15527777777774,1.0714285714285714,317.3,1.5,0.5,26.445,,0.10000000000000002,0.03333333333333333,0.5,0.1776470588235294,4135.5,400.525,2.333333333333333,1.0,,43.91666666666666,-312.3348571428571,18.5,2019-12-16 07:52:37.826,193.53866666666667,,,,,i.O.,i.O.,i.O.,22,22
22,22,7.0,24.543720000000004,170.09549999999996,174.2377142857143,0.875,317.2857142857143,2.5,1.0,,74.67,0.09,,0.5,0.10294117647058824,0.0,410.33,0.5,0.75,,188.75,-314.9861764705882,19.75,2019-12-16 07:52:45.018,0.0,,,,,i.O.,i.O.,i.O.,22,23
23,23,,20.649769230769227,174.31346153846152,180.03861111111115,0.7142857142857143,317.1666666666667,2.2,1.0,26.412,,0.09285714285714287,0.05,0.3333333333333333,0.11941176470588236,1209.0,425.51666666666665,5.666666666666668,0.5,,-116.92857142857143,-312.34285714285716,14.0,2019-12-16 07:52:52.027,21.654666666666685,,,,,i.O.,i.O.,i.O.,22,24
24,24,6.0,21.0922,169.72250000000003,187.78083333333333,0.8333333333333334,317.3333333333333,2.5,1.0,,,0.0909090909090909,0.06666666666666668,0.5,0.11705882352941176,4477.0,444.07,6.25,1.0,,-88.55555555555556,-312.3551428571428,18.63636363636364,2019-12-16 07:52:59.237,0.0,,,,,i.O.,i.O.,i.O.,22,25
25,25,7.0,22.37058333333333,419.35638461538457,181.86828571428575,0.8,317.23076923076917,1.6,0.0,,,0.07857142857142856,0.0,0.6,0.13500000000000004,0.0,455.33,0.5,1.3333333333333333,,220.1818181818182,-314.99294117647065,19.33333333333333,2019-12-16 07:53:06.423,-221.28400000000002,,,,,i.O.,i.O.,i.O.,22,26
26,26,,25.12555172413793,-66.87628571428571,191.66472222222225,0.8636363636363636,317.5,1.5,0.5,,,0.10000000000000002,,0.4545454545454545,0.14222222222222225,733.3333333333335,470.0866666666666,4.666666666666667,0.5,19.97,-16.0,-315.0161764705883,16.09090909090909,2019-12-16 07:53:13.427,,,,90.0,-382.67,i.O.,i.O.,i.O.,22,27
27,27,6.666666666666668,20.302705882352942,56.35214285714285,166.69918918918918,0.8947368421052632,317.1818181818182,2.5,0.8,26.38,74.66,0.09230769230769233,,0.5555555555555556,0.1438888888888889,-8982.666666666666,368.04333333333335,12.5,1.4285714285714286,19.952,-59.72727272727273,-311.81294117647064,16.23076923076923,2019-12-16 07:53:20.698,-803.0283333333333,,7.535333333333334,2199.5,-370.715,i.O.,i.O.,i.O.,22,28
28,28,6.6,22.24272000000001,214.32900000000004,180.24,0.7407407407407407,317.25,2.0,0.5,,,0.09285714285714287,,0.5,0.1423529411764706,0.0,365.33,0.3333333333333333,1.0,19.956666666666663,289.45454545454544,-315.0052941176471,22.8,2019-12-16 07:53:28.033,-59.5505,,,,,i.O.,i.O.,i.O.,22,29
29,29,6.5,23.77672,167.85741666666667,174.90027777777786,0.8947368421052632,316.8,2.333333333333333,1.2,,,0.08333333333333333,,0.5,0.12466666666666668,3073.5,379.245,2.75,1.0,19.95285714285714,7.083333333333332,-314.99117647058824,17.76923076923077,2019-12-16 07:53:35.031,82.5585,,,,,i.O.,n.i.O.,i.O.,22,30
30,30,,9.58730769230769,233.30472727272732,182.64749999999995,0.75,317.25,2.0,0.5,,,0.10000000000000003,,0.5,0.225,2037.666666666667,396.4,12.75,0.8,19.97,-93.0,-312.35914285714284,13.714285714285715,2019-12-16 07:53:42.223,126.319,,,,,i.O.,i.O.,i.O.,22,31
31,31,6.0,19.755878787878785,129.62316666666672,190.38972222222225,0.7647058823529411,317.0,1.6666666666666667,1.0,26.346000000000004,,0.075,,0.5,0.151875,4135.5,415.525,2.6666666666666665,1.0,,44.16666666666666,-312.33428571428567,18.5,2019-12-16 07:53:49.429,-111.65700000000001,,,,,i.O.,i.O.,i.O.,22,32
32,32,7.0,15.33984,277.48266666666666,183.90314285714283,0.7619047619047619,317.1666666666667,2.25,0.75,,,0.08333333333333333,,0.5,0.11611111111111112,0.0,425.33,0.42857142857142855,1.3333333333333333,,258.8888888888889,-314.9879411764705,18.571428571428573,2019-12-16 07:53:56.632,0.0,,,,,i.O.,i.O.,i.O.,22,33
33,33,,26.022892857142853,128.06899999999996,184.27083333333337,0.7916666666666666,317.5,2.5,0.6,,74.65,0.11000000000000004,0.05,0.5,0.11444444444444447,1209.0,440.51666666666665,8.333333333333334,0.8,,-189.78571428571428,-312.34057142857137,14.142857142857142,2019-12-16 07:54:03.625,120.454,,,,,i.O.,i.O.,i.O.,22,34
34,34,6.0,23.00972,262.29827272727266,172.01388888888889,0.8333333333333334,317.3333333333333,1.8333333333333333,1.3333333333333333,,,0.10000000000000002,0.05,0.5,0.1829411764705882,4477.0,459.07,7.666666666666668,1.1666666666666667,,-106.9090909090909,-312.3537142857142,16.733333333333334,2019-12-16 07:54:10.836,-136.24433333333332,3.5,,,,i.O.,i.O.,i.O.,22,35
35,35,7.0,24.33719230769231,14.506222222222226,181.24285714285716,0.7826086956521741,317.5,2.333333333333333,0.6666666666666666,,,0.10769230769230773,0.06666666666666668,0.5,0.16411764705882353,0.0,470.33,0.42857142857142855,1.3333333333333333,,219.125,-314.9923529411765,20.53846153846154,2019-12-16 07:54:18.034,0.0,,,,,i.O.,i.O.,i.O.,22,36
36,36,6.8,26.276518518518515,530.2426,176.15648648648644,0.9444444444444444,317.1,2.5,1.25,26.312857142857148,,0.10714285714285718,0.03333333333333333,0.4,0.15250000000000002,-8814.5,371.45,13.857142857142858,2.125,,-34.0,-315.0041176470589,16.307692307692307,2019-12-16 07:54:25.026,778.6666666666665,,72.9555,1499.0,-356.19666666666666,i.O.,i.O.,i.O.,22,37
37,37,6.4,19.17475862068966,284.58952941176466,185.2463888888889,0.7391304347826086,317.1818181818182,1.8333333333333333,1.0,26.315,,0.1,,0.5714285714285714,0.1805882352941177,4123.5,367.615,13.0,0.8,,-192.0,-311.8238235294117,15.533333333333333,2019-12-16 07:54:32.437,-209.10299999999998,3.6,,,,i.O.,i.O.,i.O.,22,38
38,38,6.666666666666668,29.09286206896552,-86.51092307692306,189.9005714285714,0.8,317.0,2.333333333333333,0.0,,74.64,0.09,,0.5,0.14666666666666664,0.0,380.33,0.3333333333333333,1.0,,222.35714285714286,-315.0100000000001,23.1,2019-12-16 07:54:39.627,-2.03,3.333333333333333,,,,i.O.,i.O.,i.O.,22,39
39,39,6.5,16.618133333333336,152.19070000000005,189.135,0.5,317.07692307692315,1.5,0.75,,,0.11666666666666665,,0.5,0.16062500000000002,3073.5,394.245,2.5,0.6666666666666666,19.99,177.58333333333337,-314.994705882353,17.76923076923077,2019-12-16 07:54:46.633,349.8585,,,,,i.O.,n.i.O.,i.O.,22,40
40,40,,14.20348148148148,141.0288461538462,176.88,0.8333333333333334,317.07692307692315,2.5,0.6,26.282857142857146,,0.11333333333333336,,0.5,0.1661111111111111,2037.666666666667,411.4,16.666666666666668,1.0,19.983333333333334,-251.66666666666663,-311.82000000000005,14.090909090909092,2019-12-16 07:54:53.837,143.4623333333334,3.5,,,,i.O.,n.i.O.,i.O.,22,41
41,41,6.0,28.024730769230768,125.73758333333336,174.62277777777783,0.7307692307692307,317.27272727272725,2.333333333333333,1.3333333333333333,26.285,,0.07857142857142856,0.05,0.5,0.14411764705882354,4135.5,430.525,1.125,1.0,19.987142857142857,-13.307692307692307,-312.3348571428571,19.5,2019-12-16 07:55:01.029,-106.92,,,,,i.O.,i.O.,i.O.,22,42
42,42,7.0,18.437269230769235,450.6323076923077,183.28085714285717,0.8181818181818182,317.46153846153845,2.25,0.6666666666666666,,,0.1166666666666667,0.05,0.5,0.14250000000000002,0.0,440.33,0.3333333333333333,1.3333333333333333,19.985,227.2352941176471,-314.98411764705867,19.75,2019-12-16 07:55:08.230,0.0,,,,,i.O.,i.O.,i.O.,22,43
43,43,,22.7700625,36.99091666666669,178.5063888888889,0.7692307692307693,317.22222222222223,2.2,0.0,,,0.13000000000000006,,0.4615384615384616,0.1729411764705882,1209.0,455.51666666666665,15.666666666666664,0.8,19.985,-189.0,-312.34171428571426,14.5,2019-12-16 07:55:15.264,-20.978,,,,,i.O.,i.O.,i.O.,22,44
44,44,8.0,23.283642857142862,90.71090909090911,186.2516666666667,0.8260869565217391,317.1818181818182,1.8333333333333333,1.0,,74.63,0.15,,0.5714285714285714,0.15999999999999998,-8906.5,465.34,10.714285714285714,2.833333333333333,19.985,-26.5,-312.3542857142856,18.545454545454547,2019-12-16 07:55:22.437,374.897,3.5,,2227.0,-351.43,i.O.,i.O.,i.O.,22,45
45,45,6.5,13.33891304347826,2.7978125000000094,193.99777777777774,0.8695652173913043,316.5,1.7142857142857142,0.0,,,0.15,,0.42857142857142855,0.2283333333333333,-9147.5,355.55499999999995,9.166666666666666,1.0,19.985,180.4,-314.97970588235296,20.0,2019-12-16 07:55:29.632,1034.914,,77.066,1143.5,-338.3350000000001,i.O.,i.O.,i.O.,22,46
46,46,6.5,23.80310344827587,102.5795,191.74194444444447,0.7333333333333333,317.1818181818182,2.0,0.75,,,0.15000000000000002,,0.5714285714285714,0.12750000000000006,1135.6666666666667,365.2166666666667,8.5,0.6666666666666666,,-87.54545454545455,-315.0161764705883,15.666666666666664,2019-12-16 07:55:36.839,163.08700000000002,,,,,i.O.,i.O.,i.O.,22,47
47,47,6.0,17.80517857142857,394.37981818181817,169.4888888888889,0.6818181818181818,317.0,2.5,0.6,,,0.15000000000000002,,0.5,0.15500000000000005,4252.0,382.895,12.333333333333336,1.0,,3.75,-311.8238235294117,17.454545454545453,2019-12-16 07:55:44.035,-112.3335,3.5,,,,i.O.,i.O.,i.O.,22,48
48,48,7.0,25.360225806451613,-173.0794,168.71571428571434,0.8,317.5,1.6,1.0,26.252,,0.15000000000000002,,0.42857142857142855,0.17235294117647065,0.0,395.33,0.42857142857142855,0.8,,303.14285714285717,-315.0061764705883,22.272727272727273,2019-12-16 07:55:51.233,,3.5,,,,i.O.,i.O.,i.O.,22,49
49,49,6.5,27.61172,109.79120000000002,173.36916666666664,0.9333333333333332,317.27777777777777,2.5,1.0,26.255,74.62,0.13333333333333336,,0.5,0.2405882352941176,1859.666666666667,409.44,4.333333333333333,1.0,,68.5,-314.995,18.363636363636363,2019-12-16 07:55:58.251,420.913,3.5,,,,i.O.,i.O.,i.O.,22,50
50,50,,26.70771428571428,230.07114285714286,181.11694444444439,0.7727272727272727,317.5,2.5,0.0,,,0.14,,0.5555555555555556,0.1711111111111111,3322.0,426.615,10.4,1.0,,-139.57142857142858,-312.35885714285723,13.846153846153848,2019-12-16 07:56:05.495,-59.09900000000001,3.5,,,,i.O.,i.O.,i.O.,22,51
51,51,6.0,29.117259259259253,153.3098,178.85749999999996,0.9285714285714286,317.3333333333333,2.0,1.0,,,0.1285714285714286,,0.5,0.16166666666666668,3980.5,445.795,1.3333333333333333,1.0,,13.769230769230768,-312.3348571428571,18.4375,2019-12-16 07:56:12.640,-16.241,,,,,i.O.,i.O.,i.O.,22,52
52,52,7.0,26.022892857142853,547.9948181818181,182.65885714285716,0.8076923076923077,317.0,2.333333333333333,0.5,,,0.1142857142857143,,0.4444444444444444,0.14588235294117646,0.0,455.33,0.0,1.3333333333333333,20.024,256.1,-314.98470588235284,22.444444444444446,2019-12-16 07:56:19.835,0.0,4.0,,,,i.O.,i.O.,i.O.,22,53
53,53,,24.985363636363633,95.6278181818182,182.74444444444444,0.9411764705882352,317.1666666666667,2.5,1.0,26.22,,0.1285714285714286,,0.5,0.1452941176470588,-1000.0,470.0333333333333,5.875,1.8333333333333333,20.017142857142858,-35.666666666666664,-312.34171428571426,14.083333333333336,2019-12-16 07:56:26.838,18.948,3.0,6.165,436.0,-337.58,i.O.,i.O.,i.O.,22,54
54,54,6.75,26.549692307692304,-49.05159999999994,168.04729729729726,0.8260869565217391,317.25,2.5,0.8,26.2,,0.11666666666666665,,0.5,0.13058823529411767,-7855.0,364.67666666666673,4.285714285714286,1.0,20.02285714285714,-65.625,-312.34514285714283,20.9,2019-12-16 07:56:34.076,-422.71766666666673,,22.605999999999998,2031.0,-324.865,i.O.,i.O.,i.O.,22,55
55,55,7.0,20.77275,393.79871428571437,170.75028571428575,0.7619047619047619,317.5,1.6,1.25,26.222857142857148,74.61,0.16666666666666666,,0.5,0.13312500000000002,0.0,365.33,0.3333333333333333,0.6666666666666666,20.02,301.0,-314.99294117647065,19.266666666666666,2019-12-16 07:56:41.440,0.0,3.5,,,,i.O.,n.i.O.,i.O.,22,56
56,56,,17.57679166666666,259.0599,175.98222222222216,0.8666666666666667,317.5,2.0,0.6666666666666666,26.216,,0.15000000000000002,,0.5,0.3290476190476191,1135.6666666666667,380.2166666666667,8.25,0.6,20.02,4.545454545454546,-315.014705882353,15.666666666666664,2019-12-16 07:56:48.498,-199.62900000000002,3.5,,,,i.O.,n.i.O.,i.O.,22,57
57,57,6.0,17.43168181818182,52.84406666666664,183.72583333333336,0.75,317.3076923076923,2.0,0.0,,,0.11666666666666665,,0.6,0.18312500000000004,4252.0,397.895,12.0,0.6666666666666666,20.02,-41.07142857142857,-311.8226470588235,15.866666666666667,2019-12-16 07:56:55.671,333.6175,3.5,,,,i.O.,n.i.O.,i.O.,22,58
58,58,7.0,30.679600000000004,393.02363636363646,178.37885714285716,0.8260869565217391,317.3333333333333,2.0,1.0,,,0.15000000000000002,,0.4444444444444444,0.16833333333333333,0.0,410.33,0.5,0.6666666666666666,,194.11111111111111,-315.00264705882364,20.0,2019-12-16 07:57:02.849,,,,,,i.O.,i.O.,i.O.,22,59
59,59,6.5,28.123,376.62213333333335,187.6094444444444,1.0,317.1666666666667,2.5,0.6,,,0.16363636363636366,,0.5555555555555556,0.1527777777777778,1859.666666666667,424.44,1.875,0.8333333333333334,,31.5,-314.99411764705883,17.307692307692307,2019-12-16 07:57:09.851,-177.9745,3.5,,,,i.O.,i.O.,i.O.,22,60
60,60,,25.33807142857143,205.73300000000003,175.35527777777781,0.7727272727272727,317.1666666666667,2.333333333333333,1.25,,74.6,0.15000000000000002,,0.5,0.18125,3322.0,441.615,10.4,0.875,,-46.25,-312.35914285714296,13.916666666666664,2019-12-16 07:57:17.048,-4.737,,,,,i.O.,i.O.,i.O.,22,61
61,61,6.0,18.48996428571429,367.2968,173.1030555555555,0.7692307692307693,317.5,1.2,0.6666666666666666,,,0.12500000000000006,,0.5,0.14999999999999994,3980.5,460.795,2.0,0.8571428571428571,,143.27272727272728,-312.3357142857143,19.923076923076927,2019-12-16 07:57:24.249,160.38,3.5,,,,i.O.,n.i.O.,i.O.,22,62
62,62,7.0,24.33726923076923,228.6876923076923,171.75857142857149,0.8333333333333334,317.3,2.25,0.3333333333333333,,,0.17500000000000002,,0.4444444444444444,0.2129411764705882,0.0,470.33,0.42857142857142855,1.3333333333333333,,76.18181818181819,-314.9882352941176,20.454545454545453,2019-12-16 07:57:31.449,-197.59900000000002,3.5,,,,i.O.,i.O.,i.O.,22,63
63,63,6.666666666666668,23.141965517241374,156.00864705882353,177.51567567567562,0.8181818181818182,317.5,2.25,1.0,,,0.15,,0.5,0.1894444444444444,-8108.0,368.0525,12.285714285714285,1.8571428571428568,,-211.58333333333331,-312.3297142857143,14.384615384615385,2019-12-16 07:57:38.531,-98.79933333333334,3.5,41.1015,1496.333333333333,-310.6,i.O.,i.O.,i.O.,22,64
64,64,6.0,25.074692307692317,213.36533333333333,186.3336111111111,0.875,317.26666666666665,1.6666666666666667,0.0,,,0.17,,0.5714285714285714,0.1511764705882353,4466.5,369.37,5.25,0.6666666666666666,,-21.93333333333333,-312.3537142857142,18.384615384615387,2019-12-16 07:57:45.846,-66.76866666666666,3.5,,,,i.O.,i.O.,i.O.,22,65
65,65,7.0,29.49961538461539,123.4346363636364,180.41771428571425,0.9523809523809524,317.1818181818182,2.25,1.0,,74.59,0.16666666666666666,,0.3333333333333333,0.15333333333333335,0.0,380.33,0.3333333333333333,0.6666666666666666,,211.54545454545453,-314.9944117647059,20.46153846153846,2019-12-16 07:57:53.046,0.0,3.5,,,,i.O.,i.O.,i.O.,22,66
66,66,,23.59965384615385,183.0267333333333,190.21694444444438,0.8947368421052632,317.22222222222223,2.5,0.6,26.17,,0.18333333333333332,,0.5,0.19333333333333336,1135.6666666666667,395.2166666666667,8.25,0.8333333333333334,20.058,-87.45454545454545,-315.01647058823534,15.666666666666664,2019-12-16 07:58:00.054,32.933,3.5,,,,i.O.,n.i.O.,i.O.,22,67
67,67,6.0,23.141896551724138,162.5491538461539,167.9622222222223,0.7222222222222222,316.8,2.5,1.25,26.188000000000002,,0.13636363636363638,,0.5,0.13235294117647062,4252.0,412.895,12.333333333333336,0.6666666666666666,20.052,-123.0,-311.82588235294116,17.454545454545453,2019-12-16 07:58:07.257,0.0,,,,,i.O.,i.O.,i.O.,22,68
68,68,7.0,26.276592592592603,397.2624,177.76,0.8333333333333334,317.5,2.333333333333333,0.5,26.182857142857145,,0.125,,0.5,0.17312500000000006,0.0,425.33,0.4,0.6666666666666666,20.058,306.0,-315.0082352941177,20.69230769230769,2019-12-16 07:58:14.452,-22.3315,,,,,i.O.,i.O.,i.O.,22,69
69,69,6.5,23.504483870967736,39.166692307692315,171.84444444444446,1.0,317.3333333333333,1.5,0.5,26.185,,0.13000000000000006,,0.5,0.16611111111111113,1859.666666666667,439.44,4.333333333333333,0.8333333333333334,20.055,95.16666666666669,-314.995,16.5,2019-12-16 07:58:21.501,-53.46,3.5,,,,i.O.,i.O.,i.O.,22,70
