,Bezeichnung Bohrung,Klassifizierung nach Grenzlehrdorn,Klassifizierung nach Messchraube,Klassifizierung nach Messtaster,Messwert Innenmessschraube,Messwert Messtaster,Unnamed: 0,Unnamed: 6
456,,i.O.,i.O.,n.i.O.,12.014000000000001,12.040999999999999,1267.0,
457,,i.O.,i.O.,n.i.O.,12.017999999999999,12.033,1268.0,
458,,i.O.,i.O.,n.i.O.,12.015999999999998,12.06,1269.0,
459,,i.O.,i.O.,n.i.O.,12.015,12.027000000000001,1270.0,
460,,i.O.,i.O.,n.i.O.,12.013,12.025,1271.0,
461,,i.O.,i.O.,n.i.O.,12.014000000000001,12.027000000000001,1272.0,
462,,i.O.,i.O.,n.i.O.,12.015,12.032,1273.0,
463,,i.O.,i.O.,n.i.O.,12.014000000000001,12.03,1274.0,
464,,i.O.,i.O.,n.i.O.,12.014000000000001,12.027999999999999,1275.0,
465,,i.O.,i.O.,n.i.O.,12.013,12.022,1276.0,
466,,i.O.,i.O.,n.i.O.,12.015,12.024000000000001,1277.0,
467,,i.O.,i.O.,n.i.O.,12.013,12.033,1278.0,
468,,i.O.,i.O.,n.i.O.,12.013,12.027999999999999,1279.0,
469,,i.O.,i.O.,n.i.O.,12.014000000000001,12.026,1280.0,
470,,i.O.,i.O.,n.i.O.,12.015,12.033,1281.0,
471,,i.O.,i.O.,n.i.O.,12.014000000000001,12.023,1282.0,
472,,i.O.,i.O.,n.i.O.,12.015,12.023,1283.0,
473,,i.O.,i.O.,n.i.O.,12.013,12.023,1284.0,
474,,i.O.,i.O.,n.i.O.,12.014000000000001,12.027999999999999,1285.0,
475,,i.O.,i.O.,n.i.O.,12.017999999999999,12.027999999999999,1286.0,
476,,i.O.,i.O.,n.i.O.,12.015,12.026,1287.0,
477,,i.O.,i.O.,n.i.O.,12.013,12.023,1288.0,
478,,i.O.,i.O.,n.i.O.,12.014000000000001,12.029000000000002,1289.0,
479,,i.O.,i.O.,n.i.O.,12.015999999999998,12.03,1290.0,
480,,i.O.,i.O.,n.i.O.,12.014000000000001,12.019,1291.0,
481,,i.O.,i.O.,n.i.O.,12.014000000000001,12.024000000000001,1292.0,
482,,i.O.,i.O.,n.i.O.,12.015999999999998,12.027999999999999,1293.0,
483,,i.O.,i.O.,n.i.O.,12.015,12.024000000000001,1294.0,
484,,i.O.,n.i.O.,n.i.O.,12.02,12.036,1295.0,
485,,i.O.,i.O.,n.i.O.,12.012,12.023,1701.0,
486,,i.O.,i.O.,i.O.,12.011,12.014000000000001,1702.0,
487,,i.O.,i.O.,i.O.,12.01,12.015,1703.0,
488,,i.O.,i.O.,i.O.,12.009,12.017999999999999,1704.0,
489,,i.O.,i.O.,i.O.,12.009,12.017000000000001,1705.0,
490,,i.O.,i.O.,i.O.,12.008,12.014000000000001,1706.0,
491,,i.O.,i.O.,i.O.,12.009,12.013,1707.0,
492,,i.O.,i.O.,i.O.,12.008,12.012,1708.0,
493,,i.O.,i.O.,i.O.,12.009,12.015,1709.0,
494,,i.O.,i.O.,n.i.O.,12.012,12.025,1710.0,
495,,i.O.,i.O.,i.O.,12.007,12.012,1711.0,
496,,i.O.,i.O.,i.O.,12.01,12.017999999999999,1712.0,
497,,i.O.,i.O.,i.O.,12.011,12.017000000000001,1713.0,
498,,i.O.,i.O.,i.O.,12.009,12.017000000000001,1714.0,
499,,i.O.,i.O.,i.O.,12.009,12.017999999999999,1715.0,
500,,i.O.,i.O.,i.O.,12.01,12.015999999999998,1716.0,
501,,i.O.,i.O.,i.O.,12.01,12.015,1717.0,
502,,i.O.,i.O.,i.O.,12.011,12.013,1718.0,
503,,i.O.,i.O.,i.O.,12.009,12.013,1719.0,
504,,i.O.,i.O.,i.O.,12.008,12.015,1720.0,
505,,i.O.,i.O.,i.O.,12.008,12.014000000000001,1721.0,
506,,i.O.,i.O.,i.O.,12.011,12.017000000000001,1722.0,
507,,i.O.,i.O.,i.O.,12.01,12.015999999999998,1723.0,
508,,i.O.,i.O.,i.O.,12.01,12.017999999999999,1724.0,
509,,i.O.,i.O.,i.O.,12.008,12.015,1725.0,
510,,i.O.,i.O.,i.O.,12.008,12.01,1726.0,
511,,i.O.,i.O.,i.O.,12.009,12.013,1727.0,
512,,i.O.,i.O.,i.O.,12.01,12.017999999999999,1728.0,
513,,i.O.,i.O.,i.O.,12.01,12.017999999999999,1729.0,
514,,i.O.,i.O.,n.i.O.,12.01,12.02,1730.0,
515,,i.O.,i.O.,i.O.,12.011,12.015,1731.0,
516,,i.O.,i.O.,i.O.,12.01,12.012,1732.0,
517,,i.O.,i.O.,i.O.,12.011,12.017000000000001,1733.0,
518,,i.O.,i.O.,i.O.,12.009,12.017000000000001,1734.0,
519,,i.O.,i.O.,i.O.,12.009,12.013,1735.0,
520,,i.O.,i.O.,i.O.,12.011,12.017000000000001,1736.0,
521,,i.O.,i.O.,i.O.,12.008,12.015999999999998,1737.0,
