12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Y1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,Label
,6.289411764705882,10.128499999999999,0.37300000000000183,,0.5,0.75,,0.05000000000000001,0.05,0.5,0.17666666666666667,106.9375,411.1247368421053,3.375,-20.8125,-350.5163157894737,1.9444444444444444,,-380.75,-295.05999999999995,14.272727272727273,2019-11-26 13:10:54.461,IO
5.5,13.24407142857143,11.698076923076922,40.6586,,0.5,0.5,,0.1,,0.5,0.115,303.46666666666664,425.5878947368422,3.2777777777777777,-3.6,-350.915,1.7142857142857142,,-147.0,-296.256,13.916666666666666,2019-11-26 13:10:59.261,IO
,8.881937500000001,9.590266666666668,-7.087400000000002,,0.5,0.9,,,,0.5555555555555556,0.13083333333333333,98.6875,441.29,3.2777777777777777,-17.75,-350.53666666666663,2.0,,492.5,-295.0725,14.5,2019-11-26 13:11:04.313,IO
,11.225529411764706,10.6864,38.0476,,0.5,1.4285714285714286,,0.05,0.05,0.4,0.11615384615384615,238.8235294117647,455.9444999999999,3.411764705882353,-37.38461538461539,-350.53705882352943,1.8888888888888888,26.745,43.5,-296.17199999999997,13.5,2019-11-26 13:11:09.069,IO
,9.155470588235293,5.754133333333333,20.82666666666667,,0.5,1.0,,0.05,,0.5714285714285714,0.09750000000000002,239.3125,471.3821052631578,3.2222222222222223,-23.933333333333334,-350.5225,2.642857142857143,,55.75,-295.09749999999997,13.272727272727273,2019-11-26 13:11:14.070,IO
5.5,15.959083333333327,8.582882352941176,6.341200000000001,,0.42857142857142855,0.9090909090909091,27.383333333333336,0.05,0.05,0.42857142857142855,0.1395,-184.125,381.43485714285725,3.12,43.4,-339.2562857142858,1.8333333333333333,,-5.4,-295.0825,15.454545454545455,2019-11-26 13:11:18.873,IO
5.5,7.067833333333334,7.192642857142857,31.395333333333337,,0.5555555555555556,1.2222222222222223,27.39,0.05,,0.5,0.11800000000000002,226.4,365.87750000000005,4.133333333333334,3.6875,-335.4899999999999,2.6875,,-319.1666666666667,-296.38800000000003,13.0,2019-11-26 13:11:26.870,IO
,7.722411764705879,10.412399999999998,4.973500000000004,180.0,0.4,1.2857142857142858,27.39,0.05,,0.5,0.22,34.1875,381.2184210526316,3.3,12.533333333333333,-335.5311764705882,2.0,,297.8,-296.61333333333334,14.4,2019-11-26 13:11:31.876,IO
5.5,7.518888888888889,8.378384615384617,13.055400000000002,,0.5555555555555556,1.375,,,,0.5,0.15545454545454548,86.73684210526316,396.0105,2.761904761904762,15.5,-335.54562500000003,2.5,,0.0,-295.86599999999993,14.714285714285714,2019-11-26 13:11:36.681,IO
,4.299176470588236,8.220307692307692,19.58333333333334,,0.5,1.0,,,,0.5,0.11818181818181818,194.0,411.43555555555554,3.611111111111111,-19.666666666666668,-335.544375,2.0588235294117645,,-8.6,-296.15,13.090909090909092,2019-11-26 13:11:41.678,IO
5.5,8.690421052631578,3.9632857142857145,11.1904,,0.5,0.625,,,,0.5,0.13999999999999999,49.4375,426.2634999999999,2.55,53.88235294117647,-335.52882352941174,2.4705882352941178,,-375.6,-294.86,13.846153846153847,2019-11-26 13:11:46.483,IO
5.5,3.0678666666666667,4.403714285714286,17.531800000000004,,0.5,0.5,,0.05,,0.5,0.11833333333333335,282.4375,441.4352631578948,2.5,20.125,-335.4931250000001,3.0714285714285716,,-210.4,-296.474,13.545454545454545,2019-11-26 13:11:51.492,IO
,9.323555555555556,4.844,11.1904,,0.5,1.3333333333333333,,0.05,,0.5,0.1325,69.25,456.24800000000005,2.388888888888889,43.833333333333336,-335.53888888888895,2.4444444444444446,,-345.8,-295.0875,14.636363636363637,2019-11-26 13:11:56.303,IO
,4.150533333333334,4.256928571428571,15.666600000000006,,0.5,1.1428571428571428,,0.05,,0.5714285714285714,0.1366666666666667,276.0,471.42105263157896,2.3529411764705883,17.25,-335.49625000000003,2.375,,-95.8,-296.226,13.846153846153847,2019-11-26 13:12:01.311,IO
5.5,17.007966666666665,6.293562500000001,-5.595399999999995,180.0,0.4,0.7272727272727273,,,,0.5,0.16368421052631585,-65.3125,380.906,3.0,-31.533333333333335,-324.1922857142857,2.1538461538461537,,492.5,-295.3425,13.75,2019-11-26 13:12:06.101,IO
5.5,12.578882352941177,10.56892857142857,41.031600000000005,,0.5555555555555556,1.0,27.355,0.15000000000000002,,0.5,0.16230769230769232,294.4,365.954,3.6470588235294117,-7.125,-320.50764705882347,2.2666666666666666,,4.833333333333333,-296.37199999999996,13.533333333333333,2019-11-26 13:12:14.105,IO
5.5,9.71282352941176,7.7459999999999996,-6.341399999999998,,0.5,0.9,27.355,0.15,,0.5,0.1990909090909091,138.0625,381.35368421052624,3.1052631578947367,-4.8125,-320.5341176470588,1.8888888888888888,,492.5,-295.0775,14.0,2019-11-26 13:12:19.105,IO
,11.464235294117648,11.065846153846154,19.397,,0.5,1.1428571428571428,27.349999999999998,,,0.3333333333333333,0.13272727272727272,181.22222222222223,395.99249999999995,3.1333333333333333,-14.882352941176471,-320.5105555555555,2.1176470588235294,,173.0,-296.008,13.75,2019-11-26 13:12:23.923,IO
5.5,5.4981875,7.486214285714285,-6.714399999999995,,0.5,0.6666666666666666,27.355,0.05,,0.6,0.17166666666666663,271.0,411.4444999999999,3.1875,-55.6,-320.52625,2.5625,,0.0,-295.854,13.833333333333334,2019-11-26 13:12:28.911,IO
,7.359249999999999,4.990785714285714,11.5636,,0.5,0.5,,0.08333333333333333,0.05,0.5,0.1391666666666667,-9.3125,426.09263157894736,2.611111111111111,47.86666666666667,-320.5387500000001,2.5,,-368.25,-296.5333333333333,14.2,2019-11-26 13:12:33.720,IO
,11.804833333333335,11.302785714285715,33.2605,,0.5,0.625,,0.05,,0.42857142857142855,0.14363636363636362,274.875,440.8795,3.5789473684210527,40.4,-320.54312500000003,2.8125,,0.0,-296.442,13.0,2019-11-26 13:12:38.523,IO
,8.036,9.101,-7.460399999999998,,0.5,1.0,27.31,,,0.5,0.08363636363636363,27.666666666666668,456.2899999999999,3.1176470588235294,37.0625,-320.525625,2.4761904761904763,,434.25,-296.7,14.727272727272727,2019-11-26 13:12:43.530,IO
,9.901421052631578,9.419083333333333,19.397,,0.5,1.1,27.34,0.05,0.05,0.6,0.19999999999999998,128.77777777777777,470.78900000000004,3.0588235294117645,7.470588235294118,-320.5323529411765,1.9473684210526316,,121.0,-296.22799999999995,13.933333333333334,2019-11-26 13:12:48.325,IO
5.5,15.304038461538457,8.734,21.759333333333334,,0.5,0.625,27.325,0.15000000000000002,,0.46153846153846156,0.11631578947368423,-34.57142857142857,379.9945714285715,3.3636363636363638,4.466666666666667,-309.17529411764696,2.235294117647059,,-257.4,-296.268,13.333333333333334,2019-11-26 13:12:53.344,IO
5.5,9.323555555555556,7.045857142857143,10.257833333333336,,0.5,1.1111111111111112,27.319999999999997,0.05,,0.5,0.10692307692307695,58.22222222222222,366.29949999999997,3.2222222222222223,-31.46153846153846,-305.51882352941175,2.7058823529411766,,-127.4,-295.32,14.071428571428571,2019-11-26 13:13:01.341,IO
5.5,5.811764705882353,5.480166666666666,15.666600000000006,,0.5,1.1666666666666667,,0.1,,0.5,0.1325,268.6666666666667,381.3889473684211,2.3125,-6.625,-305.52235294117645,2.4444444444444446,,-210.4,-296.15,13.6875,2019-11-26 13:13:06.335,IO
,7.978052631578947,8.367,12.3096,,0.5,1.3636363636363635,,0.05,,0.5,0.12583333333333335,172.1764705882353,396.39950000000005,3.263157894736842,16.27777777777778,-305.55000000000007,2.5,,-127.4,-294.9875,14.166666666666666,2019-11-26 13:13:11.154,IO
,5.732176470588236,11.06569230769231,41.031600000000005,,0.5,0.8888888888888888,,0.04,,0.5,0.1190909090909091,187.66666666666666,411.4236842105264,3.3125,26.5625,-305.544375,2.2,,-357.2,-296.33399999999995,12.75,2019-11-26 13:13:16.170,IO
,8.1206,10.8625,4.849199999999999,,0.5,0.5,,0.13333333333333333,,0.5,0.14916666666666667,58.666666666666664,426.2,2.9444444444444446,8.0,-305.5488235294118,1.8235294117647058,,-159.25,-294.83,14.090909090909092,2019-11-26 13:13:20.989,IO
,10.328736842105265,11.5965,35.0634,,0.5,0.8888888888888888,,0.05,,0.5,0.18166666666666667,251.05882352941177,440.94849999999997,3.0588235294117645,-15.866666666666667,-305.5538888888889,2.0555555555555554,,19.333333333333332,-296.11799999999994,13.363636363636363,2019-11-26 13:13:25.789,IO
,10.235187499999999,9.541428571428572,-5.968399999999997,,0.5,1.1111111111111112,,0.08333333333333333,,0.5,0.16818181818181818,108.53333333333333,456.347894736842,2.9444444444444446,-26.875,-305.53882352941173,2.25,,492.5,-295.22999999999996,13.818181818181818,2019-11-26 13:13:30.796,IO
,10.827388888888889,11.645416666666668,28.349199999999996,,0.5,1.1,,0.05,,0.5,0.14500000000000002,213.5,470.8044999999999,3.411764705882353,-12.428571428571429,-305.5142105263158,2.176470588235294,,77.5,-295.08500000000004,13.5,2019-11-26 13:13:35.632,IO
5.5,16.48275,5.617133333333333,-11.812333333333333,,0.5,0.8,27.27,0.08333333333333333,,0.5,0.16294117647058823,120.3125,380.08085714285716,2.6315789473684212,-31.571428571428573,-294.2884848484849,2.789473684210526,,-193.0,-294.98749999999995,13.6875,2019-11-26 13:13:40.620,IO
,6.6079411764705895,7.926642857142858,4.103200000000001,,0.5,1.1,27.29,0.15000000000000002,,0.5714285714285714,0.12000000000000001,45.4375,366.24736842105267,3.4210526315789473,-21.266666666666666,-290.519375,2.4705882352941178,,-3.5,-296.28,15.076923076923077,2019-11-26 13:13:48.668,IO
5.5,11.504055555555558,8.378307692307693,31.706333333333337,,0.5,1.4285714285714286,27.290000000000003,0.05,,0.42857142857142855,0.16999999999999998,313.9375,380.928,2.9444444444444446,-22.0,-290.5076470588234,2.5,,-319.1666666666667,-295.075,13.176470588235293,2019-11-26 13:13:53.484,IO
,8.518647058823529,9.643,0.0,,0.5,1.25,27.29,0.1,0.05,0.6,0.18999999999999997,67.5,396.31000000000006,2.5789473684210527,-8.6,-290.55411764705883,2.611111111111111,,434.25,-296.184,14.428571428571429,2019-11-26 13:13:58.491,IO
,8.20005882352941,12.488538461538461,41.7778,,0.5,0.8181818181818182,27.29,0.03333333333333333,0.1,0.42857142857142855,0.1675,286.88235294117646,410.9115,3.1875,-52.333333333333336,-290.55411764705883,2.0,,0.0,-295.585,13.8,2019-11-26 13:14:03.293,IO
,6.528235294117647,6.481307692307691,12.682400000000005,,0.5,0.5,,0.06000000000000001,0.03333333333333333,0.5555555555555556,0.23636363636363636,29.6875,426.18263157894734,3.473684210526316,-66.42857142857143,-290.49187499999994,2.2777777777777777,,-162.25,-295.29499999999996,13.928571428571429,2019-11-26 13:14:08.288,IO
,4.776764705882353,7.113615384615385,8.206200000000004,,0.5,1.1,,0.05,0.05,0.4444444444444444,0.17916666666666667,220.93333333333334,440.85749999999996,2.9375,-24.142857142857142,-290.51375,2.125,,-175.33333333333334,-295.15250000000003,13.857142857142858,2019-11-26 13:14:13.123,IO
,4.906125,6.899071428571427,-3.730200000000002,,0.5,1.1428571428571428,,0.044444444444444446,,0.5714285714285714,0.169,54.1875,456.14157894736843,3.4,-10.4,-290.505625,2.25,,-159.25,-296.17999999999995,14.0,2019-11-26 13:14:18.139,IO
,5.811705882352942,13.120846153846154,68.6348,,0.5,1.25,,0.05714285714285715,0.05,0.5,0.1776923076923077,195.5,470.85849999999994,3.411764705882353,-21.357142857142858,-290.5286666666667,2.8333333333333335,,-225.66666666666666,-295.31999999999994,13.2,2019-11-26 13:14:22.904,IO
