,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_X1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Main_Spindle.Temperature_Spindle,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Energy_Savings.Active_Power_Y1,12430012063.C1_Axis.Actual_Power,12430012063.Maintenance_Package.Tool_Changer_Main,Label
40,6.5,-12.537384615384614,-108.2735,318.58981818181815,179.82448275862072,0.5,951.5,1.6666666666666667,0.3333333333333333,0.1,0.05,0.6666666666666666,0.20928571428571427,8.0,1.0,158.88888888888889,-309.4810714285714,18.6,2019-12-16 08:29:02.045,,3343.5,409.03,20.79,,,,,,,-
41,7.0,-11.36288888888889,,-192.51766666666668,172.6514285714286,0.4444444444444444,951.5,0.75,1.0,0.042857142857142864,0.1,0.5,0.11363636363636363,2.8,0.5,-70.33333333333333,-312.757037037037,13.5,2019-12-16 08:29:07.855,,533.0,425.26,20.79,,,,,,,-
42,,2.301039999999998,228.051,-148.98682352941177,186.7537931034483,0.5333333333333333,951.5,2.0,0.75,0.08571428571428572,0.0,0.5,0.13266666666666665,8.0,1.0,0.3333333333333333,-309.51249999999993,17.22222222222222,2019-12-16 08:29:13.454,,230.5,432.85,20.79,,,,,,,-
43,,-15.3398,309.256,235.53321428571422,179.17620689655172,0.5,951.5,2.0,1.0,0.08,0.05,0.5,0.10692307692307693,19.0,1.0,296.3333333333333,-308.75518518518516,26.5,2019-12-16 08:29:19.243,26.605,2748.5,448.705,20.79285714285714,,,,,,,-
44,,-15.065964285714287,-148.876,539.152076923077,184.01068965517243,0.5,951.5333333333333,1.6,0.8,0.07142857142857142,0.06666666666666667,0.5,0.11714285714285717,1.3333333333333333,1.0,211.875,-309.51607142857137,24.4,2019-12-16 08:29:25.058,26.605,4464.0,466.27,20.787142857142857,,,-351.94,,3.5,,-
45,6.333333333333333,-14.38107142857143,1421.5406666666668,292.35158333333334,174.48633333333336,0.4666666666666667,951.5,1.5,0.8,0.06666666666666667,0.0,0.5,0.1285714285714286,13.857142857142858,2.625,156.22222222222223,-309.4614285714286,17.75,2019-12-16 08:29:30.850,26.602857142857143,-12012.666666666666,383.26666666666665,20.796666666666667,,1499.0,-338.68,62.33766666666667,,,-
46,7.0,-14.203555555555555,,-175.1309,170.6589285714286,0.5,951.5,1.0,1.0,0.12500000000000003,,0.5,0.1392307692307692,7.0,0.5,-69.5,-312.7603703703703,13.5,2019-12-16 08:29:36.852,26.605,533.0,365.26,,74.39,,,,3.5,,-
47,,-8.849846153846155,226.6975,-167.1110666666667,186.09689655172411,0.5,951.5,2.0,0.3333333333333333,0.13000000000000003,,0.5,0.17214285714285715,8.0,1.0,0.1111111111111111,-309.50964285714275,17.363636363636363,2019-12-16 08:29:42.450,26.607142857142858,230.5,372.85,,,,,,,,-
48,,-14.572880000000003,297.0755,261.3983076923077,178.51724137931032,0.5,951.4666666666667,1.8333333333333333,1.0,0.15,,0.5,0.1423076923076923,9.5,1.0,416.45454545454544,-308.7525925925926,26.6,2019-12-16 08:29:48.256,26.599999999999998,2748.5,388.705,,,,,,,,-
49,6.0,-14.203481481481482,-146.846,540.0128461538462,183.3493103448276,0.5333333333333333,951.5,2.0,0.3333333333333333,0.15,,0.5,0.13133333333333333,1.75,0.8,211.375,-309.5192857142857,24.4,2019-12-16 08:29:54.055,26.605,4464.0,406.27,,,,,,,,-
50,6.5,-17.12035714285714,-110.9805,317.9116363636364,175.77137931034486,0.4666666666666667,951.5,1.6,1.0,0.15,,0.5,0.18000000000000002,4.166666666666667,1.0,238.2,-309.4814285714286,17.818181818181817,2019-12-16 08:29:59.878,26.605,3343.5,424.03,,,,,,,,-
51,7.0,-7.101814814814814,,-166.7382,181.0092857142857,0.5,951.5,0.5,0.75,0.05,,0.5,0.12285714285714287,4.333333333333333,0.5,75.71428571428571,-312.75518518518516,14.3,2019-12-16 08:30:05.667,,533.0,440.26,,,,,,,,-
52,,-11.362777777777778,227.3745,-207.49008333333336,182.70206896551724,0.5294117647058824,951.4117647058823,2.0,1.0,0.05,,0.5,0.15923076923076923,7.333333333333333,1.0,173.54545454545453,-309.5099999999999,17.272727272727273,2019-12-16 08:30:11.249,26.605,230.5,447.85,,74.38,,,,,,-
53,,-2.054464285714286,308.5795,237.2650714285714,175.1206896551724,0.5,951.5,2.2,0.75,,,0.3333333333333333,0.11266666666666668,6.833333333333333,1.25,296.3333333333333,-308.7559259259259,26.6,2019-12-16 08:30:17.054,,2748.5,463.705,,,,-337.58,,,,-
54,6.333333333333333,-14.700566666666667,1368.3059999999998,535.421923076923,187.53299999999996,0.46153846153846156,951.5294117647059,2.3333333333333335,0.8,0.15,,0.6,0.14714285714285716,20.571428571428573,2.5714285714285716,220.5,-309.50499999999994,24.2,2019-12-16 08:30:22.854,,-12036.0,391.28666666666663,,,1503.0,-324.865,52.74733333333334,,,-
55,6.5,-14.012384615384615,-109.627,347.09170000000006,175.11137931034483,0.5,951.5,1.75,1.0,0.03333333333333333,0.05,0.5,0.16642857142857143,6.0,0.7142857142857143,158.66666666666666,-309.4810714285714,17.90909090909091,2019-12-16 08:30:28.859,,3343.5,364.03,20.825,,,,,,,-
56,7.0,-7.101777777777779,,-160.56627272727272,170.47892857142855,0.5384615384615384,951.4615384615385,1.6,0.3333333333333333,0.15000000000000002,,0.5,0.18500000000000003,4.666666666666667,0.6666666666666666,-70.0,-312.6822222222222,13.5,2019-12-16 08:30:34.722,26.605,533.0,380.26,20.825,,,,,,,-
57,,-11.362888888888891,224.6675,-169.97093333333336,192.52620689655174,0.5,951.5,1.8,1.0,0.05000000000000001,,0.42857142857142855,0.11200000000000003,8.0,0.6666666666666666,0.1111111111111111,-309.5128571428572,17.454545454545453,2019-12-16 08:30:40.258,26.605,360.0,387.87,20.826666666666668,,,,,,,-
58,,-12.326642857142856,300.459,276.49833333333333,193.0596551724138,0.5,951.4117647058823,2.0,0.75,0.08,,0.6,0.12142857142857143,19.5,0.7142857142857143,362.2,-309.47357142857135,26.6,2019-12-16 08:30:46.066,,3049.5,403.9,20.825,,,,,3.5,,-
59,6.0,-4.971222222222225,-148.876,466.39480000000003,175.43344827586205,0.5,951.5,1.6,1.0,0.1,,0.5,0.1285714285714286,1.3333333333333333,0.7142857142857143,211.25,-309.50999999999993,24.4,2019-12-16 08:30:51.867,,4466.5,421.87,20.825,74.37,,,,,,-
60,7.0,-15.839956521739131,-110.9805,112.37124999999999,181.56142857142862,0.5,951.5,1.6,0.75,0.08,,0.5,0.12749999999999997,8.0,0.6,264.6666666666667,-312.7618518518518,18.4,2019-12-16 08:30:57.665,,2775.0,439.44,20.825,,,,,,,-
61,6.5,-11.641857142857145,347.152,-103.07666666666665,169.95206896551724,0.5,951.5,2.2,1.0,0.05,,0.5,0.13000000000000003,4.0,0.7142857142857143,-60.714285714285715,-312.7611111111112,14.181818181818182,2019-12-16 08:31:03.414,,242.5,455.31,20.825,,,,,,,-
62,,-12.32664285714286,211.81,381.54235714285716,187.20103448275862,0.4666666666666667,951.5333333333333,1.8333333333333333,0.3333333333333333,0.05,,0.5,0.14857142857142858,5.0,0.75,0.1111111111111111,-309.5182142857143,17.363636363636363,2019-12-16 08:31:09.065,,518.5,462.9,,,,,,,,-
