,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_X1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Main_Spindle.Temperature_Spindle,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Energy_Savings.Active_Power_Y1,12430012063.C1_Axis.Actual_Power,12430012063.Maintenance_Package.Tool_Changer_Main,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
25,25,6.5,-13.696321428571427,-112.3335,545.4645384615384,186.46862068965518,0.5,951.5,1.0,1.0,0.05555555555555555,0.05,0.5,0.14666666666666664,3.333333333333333,1.0,406.5,-309.47892857142847,24.30769230769231,2019-12-16 08:27:35.289,,3584.5,453.8,,74.42,,,,,,i.O.,n.i.O.,i.O.,23,26
26,26,7.0,-9.587384615384616,-154.2895,285.89042857142863,181.9542857142857,0.5,951.5,2.2,0.3333333333333333,0.05,0.05,0.4444444444444444,0.1430769230769231,0.4,0.5,176.0,-312.7596296296296,20.222222222222218,2019-12-16 08:27:41.097,,721.5,470.215,,,,,,,,i.O.,n.i.O.,i.O.,23,27
27,27,6.571428571428571,-5.681444444444443,751.824,-67.71661538461541,180.69866666666667,0.5384615384615384,951.5,2.0,0.8,0.05,,0.6666666666666666,0.12666666666666668,10.857142857142858,1.5,94.55555555555556,-309.4939285714285,14.333333333333336,2019-12-16 08:27:46.630,,-11964.0,408.0933333333333,,,1497.0,-371.1,57.5425,,,i.O.,n.i.O.,i.O.,23,28
28,28,6.5,-14.203555555555555,162.41,-213.3364615384615,188.5565517241379,0.5,951.5333333333333,1.8333333333333333,1.0,0.04,0.05,0.5,0.12923076923076926,14.333333333333336,1.0,-21.25,-308.7537037037037,15.25,2019-12-16 08:27:52.638,,2418.5,358.535,,,,,,,,n.i.O.,n.i.O.,i.O.,23,29
29,29,6.4,-17.699846153846156,330.911,237.71318181818177,180.97689655172414,0.4615384615384616,951.4545454545456,1.6,0.8333333333333334,0.11428571428571427,0.05,0.5,0.09000000000000001,6.333333333333332,0.7142857142857143,186.4,-309.52285714285733,22.272727272727273,2019-12-16 08:27:58.437,,4422.0,375.975,20.76,,,,,,,i.O.,n.i.O.,i.O.,23,30
30,30,6.5,-8.112423076923077,-99.4765,471.7411999999998,185.80931034482757,0.5,951.529411764706,1.8,1.0,0.05,0.05,0.5,0.1375,3.25,0.8,257.375,-309.4825,21.3125,2019-12-16 08:28:04.241,26.633333333333336,3584.5,393.8,20.755,,,,,,,i.O.,i.O.,i.O.,23,31
31,31,7.0,-12.271879999999996,-152.9365,138.7621,167.1082142857143,0.5,951.470588235294,2.0,0.0,0.05,,0.5,0.13538461538461538,0.5,0.5,338.6666666666667,-312.75666666666666,20.444444444444443,2019-12-16 08:28:10.063,26.644000000000002,721.5,410.215,20.75,,,,,,,i.O.,n.i.O.,i.O.,23,32
32,32,,-12.537423076923076,226.021,-192.82046153846161,180.33,0.5,951.5333333333333,2.2,1.0,0.05,,0.5,0.1978571428571429,4.833333333333333,0.5,-15.625,-309.5053571428571,14.384615384615385,2019-12-16 08:28:15.640,26.63714285714286,129.5,417.84,20.77,74.41,,,,,,i.O.,n.i.O.,i.O.,23,33
33,33,,-14.91374074074074,301.1355,263.11992307692304,190.1193103448275,0.5333333333333333,951.5,1.6,0.3333333333333333,0.05000000000000001,0.05,0.5,0.15000000000000005,14.666666666666664,1.0,173.6,-308.68259259259264,16.181818181818183,2019-12-16 08:28:21.434,26.64,2418.5,433.535,,,,,,,,i.O.,n.i.O.,i.O.,23,34
34,34,6.0,-13.69625,-144.816,467.26520000000005,175.65206896551723,0.4545454545454545,951.5,2.0,1.0,,,0.5,0.13642857142857145,9.0,1.0,255.8181818181818,-309.51857142857136,23.4,2019-12-16 08:28:27.249,26.64,4464.0,451.27,20.755,,,,,,,i.O.,n.i.O.,i.O.,23,35
