,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.C1_Axis.Actual_Power,Label
39,3.5,16.354911764705882,289.274,189.86136363636368,0.6666666666666666,317.3478260869565,1.5,1.0,0.15,,0.5,0.24909090909090906,1.5,0.6,351.22222222222223,-295.5313953488371,14.947368421052632,2019-12-09 10:11:36.383,-32.482,67.5,395.33,,27.78,,,,,,-
40,3.3333333333333335,20.51258139534884,-26.111090909090887,168.8731111111111,0.6774193548387096,317.3,1.5,0.5,0.15,,0.5,0.37636363636363634,10.5,0.7272727272727273,6.142857142857143,-295.55,15.826086956521738,2019-12-09 10:11:45.207,131.733,4564.333333333333,409.85999999999996,73.07,27.773333333333337,,,,,,-
41,4.0,13.315833333333334,260.07522222222224,173.5322727272727,0.782608695652174,317.3,1.5,1.0,0.15000000000000002,,0.5,0.5304761904761905,0.3333333333333333,0.5,27.9,-295.49465116279066,16.0,2019-12-09 10:11:54.337,0.0,0.0,425.33,,,,,,,,-
42,,20.649743589743586,285.35744444444447,187.6324444444445,0.7352941176470589,317.35714285714283,1.0,0.5,0.15454545454545457,,0.5,0.40800000000000003,4.0,0.75,234.1,-295.0146511627907,14.636363636363637,2019-12-09 10:12:03.153,-33.8355,67.5,440.33,,,,,,,,-
43,3.5,20.688657894736842,-76.88266666666661,175.81466666666668,0.8275862068965517,317.0,1.8,1.0,0.15833333333333335,,,0.3304347826086956,12.333333333333334,0.875,166.2,-293.3293181818181,16.789473684210527,2019-12-09 10:12:11.826,134.43966666666668,4486.0,454.5566666666666,,,,,,,,-
44,,15.54713513513514,321.20844444444447,172.1047727272727,0.7096774193548387,317.0,1.3333333333333333,0.8,0.15000000000000005,,0.5,0.4381818181818181,0.5,0.7142857142857143,-253.85714285714286,-294.87309523809523,15.066666666666666,2019-12-09 10:12:21.082,0.0,0.0,470.33,73.06,27.745,,,,,3.5,-
45,3.4,16.777949999999997,268.7582,186.57333333333335,0.6875,317.3333333333333,2.0,0.6666666666666666,0.15000000000000002,,0.5,0.4165217391304347,11.0,1.2,104.5,-295.4862790697674,15.454545454545455,2019-12-09 10:12:29.718,1238.378,-11969.0,372.8766666666666,,27.742,1496.0,-340.5,65.76299999999999,,,-
46,3.6,12.78317948717949,-136.33739999999995,172.13454545454545,0.7586206896551724,317.26666666666665,0.0,0.5,0.14117647058823535,,0.5,0.4018181818181819,1.25,0.6666666666666666,336.14285714285717,-295.5393023255814,17.375,2019-12-09 10:12:38.654,72.408,4135.5,363.025,,,,,,,,-
47,3.5,15.241512820512822,293.49600000000004,173.32711111111107,0.6538461538461539,317.29411764705884,2.0,1.0,0.1272727272727273,,0.5,0.3761904761904762,2.533333333333333,0.7142857142857143,-163.77777777777777,-295.54511627906976,15.692307692307692,2019-12-09 10:12:47.457,119.101,2418.5,373.53499999999997,,27.715,,,,,,-
48,,19.72265714285714,257.19470000000007,188.5225,0.8064516129032258,317.2307692307692,1.5,0.6,0.15000000000000002,,0.5,0.471904761904762,3.0,0.6666666666666666,139.46153846153845,-295.493488372093,16.45,2019-12-09 10:12:56.463,-77.145,242.5,395.31,,27.712,,,,,,-
49,3.5,16.651789473684207,-87.03708333333334,173.64704545454543,0.7777777777777778,317.1333333333333,0.0,0.8333333333333334,0.15000000000000002,,0.5,0.3977272727272728,2.6666666666666665,0.8333333333333334,314.0,-295.5406976744186,16.63157894736842,2019-12-09 10:13:05.261,113.0105,4261.0,407.745,73.05,,,,,,,-
50,,17.736750000000004,306.1842500000001,174.66466666666668,0.7647058823529411,317.2142857142857,1.75,1.0,0.15,,0.5,0.34809523809523807,6.0,0.8333333333333334,-83.9090909090909,-295.49465116279066,14.235294117647058,2019-12-09 10:13:14.062,82.5585,2073.5,418.385,,,,,,,,-
51,,13.766512820512826,205.62516666666667,190.04363636363635,0.7941176470588235,317.2142857142857,0.6,0.0,0.15000000000000002,,0.5,0.35318181818181815,6.25,0.75,27.75,-295.493488372093,17.27777777777778,2019-12-09 10:13:23.056,-113.687,373.5,440.28999999999996,,,,,,,,-
52,3.5,22.916170731707318,162.82159999999993,170.3351162790698,0.8275862068965517,317.26666666666665,2.0,1.0,0.15,,0.5,0.5261111111111112,5.0,1.0,314.2857142857143,-295.54093023255814,16.6,2019-12-09 10:13:31.863,156.9965,4358.5,452.46,,,,,,,,-
53,,28.162968750000005,257.00820000000004,175.25311111111108,0.9583333333333334,317.2142857142857,2.0,0.6666666666666666,0.18,,0.5,0.34944444444444445,7.0,0.8571428571428571,-259.375,-295.5411627906977,13.777777777777779,2019-12-09 10:13:40.850,56.167,1742.5,463.26,73.04,27.68285714285715,,,80.148,,,-
54,3.4285714285714284,16.08206451612903,-133.58649999999997,188.80609756097564,0.5833333333333334,317.5,0.0,1.0,0.15,,0.5,0.4812499999999999,14.8,2.0,110.88888888888889,-294.7284615384615,16.4,2019-12-09 10:13:49.777,1584.402,-11979.0,375.27,,,1497.3333333333333,-325.7966666666667,-21.5785,,,-
55,3.5714285714285716,10.324846153846153,453.4811428571429,181.50809523809525,0.5333333333333333,317.3636363636364,2.0,0.5,0.18571428571428572,,0.5,0.38941176470588246,4.75,0.75,1098.8333333333333,-297.41049999999996,15.61111111111111,2019-12-09 10:13:59.127,261.8865,4466.5,361.87,,,,,,,,-
56,,15.579531250000002,16.578444444444433,166.34627906976746,0.5,316.8,1.3333333333333333,1.0,0.16666666666666669,,0.5,0.5747058823529412,3.5,0.75,2927.7,-294.91975609756093,14.625,2019-12-09 10:14:07.737,20.978,1166.5,373.065,,,,,,,,-
57,,23.0097,-97.83199999999997,184.94238095238092,0.75,317.5,0.5,0.5,0.15,,0.5,0.40375,5.5,0.6,221.0,-295.3838095238095,17.176470588235293,2019-12-09 10:14:16.497,-244.9685,939.0,395.15999999999997,73.03,27.65,,,,,,-
58,3.5,25.942441176470588,454.14737500000007,182.33318181818183,0.8275862068965517,317.54545454545456,1.3333333333333333,0.0,0.15,,0.5,0.4005882352941177,2.6666666666666665,0.75,210.57142857142858,-295.23761904761903,16.38095238095238,2019-12-09 10:14:25.354,299.782,4477.0,406.57,,27.647142857142853,,,,,,-
59,,15.64263157894737,243.20660000000004,172.70045454545462,0.7878787878787878,317.3076923076923,1.0,0.6,0.17142857142857143,,0.5,0.35117647058823526,7.0,0.7,-194.11111111111111,-295.1838095238095,15.0,2019-12-09 10:14:34.480,-169.62866666666667,1404.3333333333333,425.28000000000003,,27.65,,,,24.383999999999997,,-
60,,16.983428571428572,-105.75009999999997,190.54999999999998,0.71875,317.25,1.5,0.8,0.15,,0.5,0.4470588235294118,0.3333333333333333,0.625,105.7,-295.04255813953495,16.823529411764707,2019-12-09 10:14:43.283,0.0,0.0,440.33,,,,,,24.38,,-
61,3.5,21.766000000000002,445.1326666666667,172.59465116279065,0.75,317.2857142857143,1.5,1.0,0.11666666666666665,,0.5,0.31875,8.0,0.75,356.90909090909093,-295.52116279069764,16.68421052631579,2019-12-09 10:14:52.108,334.971,4464.0,451.27,73.02,,,,,24.377142857142854,,-
