,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Position_MCS,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
11,11,5.5,7.37496153846154,-183.11699999999996,187.23228571428558,0.4883720930232558,317.14285714285717,2.5,1.0,,0.5,0.123125,10.0,0.6666666666666666,181.2,-297.61470588235295,15.111111111111109,2019-11-26 12:50:29.586,120.454,2418.5,382.38,28.135,,0.14705882352941185,,26.620000000000005,,,i.O.,n.i.O.,i.O.,6,12
12,12,5.6,11.24044827586207,-71.18391666666669,172.18842857142863,0.5142857142857142,317.1764705882353,2.0,1.0,,0.5,0.13161290322580646,0.5,1.0,247.8125,-297.76594202898553,13.590909090909092,2019-11-26 12:50:43.606,0.0,129.5,396.68,28.13,72.76,0.1529411764705883,,26.621538461538464,,,i.O.,i.O.,i.O.,6,13
13,13,5.5,8.820440000000003,390.92110000000014,177.65014285714284,0.4883720930232558,317.3,2.2857142857142856,0.6,,0.5,0.1166666666666667,1.0,0.5,-96.25,-297.79217391304354,14.043478260869565,2019-11-26 12:50:57.579,-21.6545,0.0,411.675,28.102857142857147,,0.18666666666666668,,26.620000000000005,,,i.O.,i.O.,i.O.,6,14
14,14,5.4,5.788660377358491,355.2130909090909,184.64436619718307,0.5,317.26666666666665,2.8,1.0,,0.5,0.1472727272727273,2.764705882352941,0.4,-83.86666666666666,-297.7640579710145,15.88,2019-11-26 12:51:11.595,177.298,3951.0,427.66333333333336,,,0.1444444444444445,,26.620000000000005,,,i.O.,n.i.O.,i.O.,6,15
15,15,5.6,8.481192307692309,-54.087307692307675,191.49371428571428,0.5151515151515151,317.375,2.333333333333333,0.0,,0.5,0.10705882352941178,6.2,0.75,178.8125,-297.74304347826086,15.7,2019-11-26 12:51:25.799,10.1505,2418.5,441.84,28.066000000000006,72.75,0.1571428571428572,,26.62,,,i.O.,n.i.O.,i.O.,6,16
16,16,5.5,7.321327272727275,-21.702727272727277,172.82114285714292,0.4857142857142857,317.2916666666667,1.75,1.0,,0.5,0.15181818181818182,0.5,0.75,157.53846153846158,-297.7407246376811,13.2,2019-11-26 12:51:39.794,0.0,0.0,456.68,28.03,,0.15000000000000002,,,,,i.O.,n.i.O.,i.O.,6,17
17,17,5.5,6.624072727272727,460.67509090909095,179.97099999999998,0.5,317.35714285714283,2.5,0.5,,0.5,0.12515151515151515,2.333333333333333,0.5,-135.3125,-297.7020289855073,14.296296296296294,2019-11-26 12:51:53.789,-75.7915,7.0,471.655,28.035,,0.1529411764705883,,,,,i.O.,i.O.,i.O.,6,18
18,18,5.75,9.929821428571428,226.1410833333334,187.14138888888886,0.5,317.1818181818182,2.4,0.0,,0.5,0.11942857142857145,12.0,1.125,-55.24,-297.7279710144928,15.4375,2019-11-26 12:52:07.796,1042.13225,-6828.75,378.12,,72.74,0.1666666666666667,1494.666666666667,,57.54233333333334,-384.75666666666666,i.O.,n.i.O.,i.O.,6,19
19,19,5.6,7.343574468085108,-132.13376923076922,182.59814285714288,0.5384615384615384,317.4,1.2,1.0,,0.5,0.10515151515151516,4.666666666666667,0.75,203.16666666666663,-297.57691176470587,14.666666666666664,2019-11-26 12:52:22.223,0.6765,921.5,366.745,28.003333333333334,,0.15000000000000005,,,,,i.O.,n.i.O.,i.O.,6,20
20,20,5.333333333333333,5.7525,201.58425000000008,172.59328571428566,0.5,317.0625,1.3333333333333333,1.0,,0.5,0.1503125,2.0,0.8333333333333334,105.35,-297.7075362318841,13.2,2019-11-26 12:52:36.210,0.0,0.0,381.68,27.99,72.73,0.1529411764705883,,,,,i.O.,n.i.O.,i.O.,6,21
21,21,5.5,2.6844799999999998,546.6553,172.87514285714298,0.5,317.25,2.5,0.5,,0.5,0.12848484848484848,5.166666666666667,0.5,-140.16666666666666,-297.764347826087,15.576923076923075,2019-11-26 12:52:50.219,-203.6895,533.0,396.565,27.975000000000005,,0.15555555555555556,,,,,i.O.,n.i.O.,i.O.,6,22
22,22,5.5,6.015666666666667,103.7272307692308,175.1585915492958,0.5,317.375,1.625,1.0,,0.5,0.1084375,17.0,0.6,175.94117647058826,-297.7957971014493,16.333333333333332,2019-11-26 12:53:04.229,283.3156666666667,5134.0,411.1466666666667,,,0.15000000000000008,,,,,i.O.,n.i.O.,i.O.,6,23
23,23,5.6,2.840740740740741,-132.5903636363636,179.23328571428573,0.4864864864864865,317.0588235294117,1.6666666666666667,1.0,,0.5,0.14228571428571432,0.5,0.7,183.36842105263162,-297.76782608695646,13.91304347826087,2019-11-26 12:53:18.440,0.0,360.0,426.72,27.92,72.72,0.14761904761904768,,,,,i.O.,n.i.O.,i.O.,6,24
24,24,5.5,4.4877659574468085,393.9985,178.33142857142857,0.5,317.4,2.0,1.0,,0.5,0.14457142857142855,0.0,0.7,147.66666666666666,-297.77594202898564,13.285714285714285,2019-11-26 12:53:32.480,,0.0,441.68,,,0.15263157894736848,,,,,i.O.,n.i.O.,i.O.,6,25
25,25,5.5,6.268711538461538,474.5078333333333,178.7547142857143,0.5,317.23809523809524,2.2,0.5,,0.5,0.14970588235294116,4.833333333333333,0.5,-102.2,-297.768695652174,14.714285714285715,2019-11-26 12:53:46.431,-119.101,373.5,456.635,27.905,,0.15500000000000005,,26.655,,,i.O.,n.i.O.,i.O.,6,26
26,26,5.5,8.595603448275869,179.0478,179.6164788732395,0.5151515151515151,317.0,1.25,0.5,,0.5,0.1623529411764706,2.2068965517241383,3.2,-33.46666666666667,-297.7585507246377,15.962962962962965,2019-11-26 12:54:00.463,362.716,-934.3333333333335,469.03,27.90333333333333,72.71,0.15000000000000008,3293.0,26.655,32.881,-379.99,i.O.,n.i.O.,i.O.,6,27
27,27,5.333333333333333,11.007777777777774,-124.4516363636364,190.6360563380281,0.5,317.125,1.5,0.5,,0.5,0.14583333333333334,3.333333333333333,1.375,156.16666666666666,-297.75913043478266,14.166666666666664,2019-11-26 12:54:14.676,-1766.211,-8319.0,358.1333333333334,,,0.15909090909090914,607.5,26.655,-7.193,-366.745,i.O.,n.i.O.,i.O.,6,28
28,28,5.5,10.76485964912281,355.8575,179.76985714285718,0.5,317.07692307692315,2.0,0.5,,0.5,0.1796774193548387,0.5,0.7,43.42857142857143,-297.7831884057972,13.347826086956523,2019-11-26 12:54:28.860,,0.0,366.68,,72.7,0.15000000000000005,,26.655882352941173,,,i.O.,n.i.O.,i.O.,6,29
29,29,5.5,6.7676274509803935,297.6137142857143,179.3392957746479,0.4883720930232558,317.375,1.6666666666666667,0.5,,0.5,0.1933333333333333,14.0,0.42857142857142855,-158.69230769230768,-296.35628571428583,16.333333333333332,2019-11-26 12:54:42.858,-40.60266666666664,3741.0,384.40333333333336,27.872000000000003,,0.15200000000000008,,26.655,,,i.O.,n.i.O.,i.O.,6,30
30,30,5.5,5.419000000000001,1.6954545454545666,181.36871428571428,0.5151515151515151,317.2857142857143,1.5,0.75,,0.5,0.1490625,7.5,0.7777777777777778,113.53846153846152,-297.57764705882363,15.72,2019-11-26 12:54:57.065,118.42399999999999,2418.5,397.38,27.875,,0.14736842105263165,,26.655,,,i.O.,i.O.,i.O.,6,31
31,31,5.6,4.793733333333334,6.273454545454569,181.65057142857142,0.5,317.14285714285717,1.3333333333333333,1.0,,0.5,0.16558823529411767,0.5,0.75,138.42105263157896,-297.7357971014493,13.444444444444445,2019-11-26 12:55:11.076,0.0,0.0,411.68,27.845,72.69,0.15000000000000008,,,,,i.O.,n.i.O.,i.O.,6,32
32,32,5.5,6.275418181818183,449.79541666666665,180.53826086956525,0.5,317.5,0.5,1.0,,0.5,0.13034482758620694,1.4285714285714286,0.7,-200.875,-297.78492753623186,13.642857142857142,2019-11-26 12:55:25.076,-20.978,23.0,426.675,27.84,,0.14736842105263162,,26.655,,,i.O.,i.O.,i.O.,6,33
33,33,5.428571428571429,6.90298,226.76275000000007,169.81157142857148,0.4878048780487805,317.25,2.0,0.5,,0.5,0.12862068965517245,5.222222222222221,0.42857142857142855,-5.4,-296.3874285714285,16.16,2019-11-26 12:55:39.428,108.27333333333335,4579.666666666667,443.29333333333335,,,0.15000000000000002,,26.655,,,i.O.,n.i.O.,i.O.,6,34
34,34,5.6,14.870265306122448,-192.95109090909088,177.99507462686566,0.6585365853658537,317.3636363636364,0.0,1.0,,0.5,0.1288,2.3076923076923075,0.6666666666666666,244.78571428571428,-297.0403174603176,14.655172413793107,2019-11-26 12:55:53.599,58.196999999999996,1742.5,457.105,,72.68,0.15000000000000002,,,,,i.O.,n.i.O.,i.O.,6,35
