,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.C1_Axis.Actual_Power,Label
13,-19.898396226415098,237.85618749999992,176.30693548387097,0.5,951.4814814814815,1.0,1.0,,,,0.5562499999999999,10.375,0.8,-3.4814814814814814,-295.40833333333336,21.181818181818183,2019-12-11 09:57:52.459,7.0,90.40840000000001,3600.8,404.442,,23.895,,,0.1,,,-
14,6.62396363636364,118.40270967741932,187.87507692307693,0.5,951.52,1.0,1.0,,0.05,,0.5262500000000001,8.5,0.8333333333333334,-2678.3214285714284,-300.58313725490206,18.818181818181817,2019-12-11 09:57:55.864,7.0,92.8446,3600.8,419.442,,23.895,,,0.05000000000000001,,,-
15,-10.248551724137924,246.37125806451604,180.22630769230767,0.52,951.4782608695652,1.0,0.5,,0.05,0.5,0.42777777777777776,8.5,0.8571428571428571,-265.2121212121212,-294.86549019607855,18.65714285714286,2019-12-11 09:57:59.327,7.166666666666667,87.70139999999998,3077.1666666666665,435.22999999999996,,23.892,,,0.1,,,-
16,-6.746666666666666,198.25125925925926,180.67507692307697,0.4782608695652174,951.4615384615385,2.0,0.5,,0.05,0.5,0.48444444444444446,13.5,0.8,-3.2941176470588234,-297.80472727272735,22.666666666666668,2019-12-11 09:58:02.812,7.166666666666667,105.90524999999998,4382.75,450.96,27.195,23.91,,,,,,-
17,-2.894377358490568,385.3545,185.52140624999998,0.52,951.4782608695652,1.1666666666666667,1.0,,0.05,,0.4950000000000001,9.333333333333334,0.8,-1028.5625,-299.54648148148146,20.516129032258064,2019-12-11 09:58:06.262,7.5,94.19800000000002,3600.8,464.442,27.195,23.895,,,0.05,,,-
18,-6.3915833333333305,253.5734166666667,169.6393939393939,0.48148148148148145,951.5,1.0,1.0,,0.05,,0.6177777777777776,24.0,2.526315789473684,-1495.142857142857,-299.4867924528301,19.193548387096776,2019-12-11 09:58:09.674,7.5,541.217,-16000.333333333334,404.40222222222224,27.189999999999998,23.895,53.689249999999994,2000.0,0.05000000000000001,-389.4422222222222,,-
19,-6.72801754385965,260.56996774193544,188.0232835820895,0.5769230769230769,951.5,1.3333333333333333,0.5,,,,0.41222222222222227,7.9,0.75,-77.65517241379311,-295.88499999999993,21.482758620689655,2019-12-11 09:58:13.335,6.5,83.91199999999996,3600.4,359.20199999999994,,,,,0.10000000000000002,,,-
20,-6.746666666666669,238.78868749999998,176.3945454545454,0.5238095238095238,951.5,1.75,1.0,,0.05,0.5,0.5562499999999999,7.555555555555555,0.75,-57.41935483870968,-297.90481481481487,19.243243243243242,2019-12-11 09:58:16.783,,68.57300000000002,2367.5,373.5125,27.2,,,,0.06666666666666667,,,-
21,-14.57286,-77.54426923076917,173.38571428571433,0.5,951.5,0.3333333333333333,0.8,,0.1,0.5,0.3425,6.857142857142857,0.8333333333333334,3353.9545454545455,-300.8072916666667,19.846153846153847,2019-12-11 09:58:20.287,7.5,276.99966666666666,2617.0,386.3666666666666,27.189999999999998,,,,0.05,,,-
22,-7.474864406779656,263.4909310344827,182.61791044776123,0.47619047619047616,951.5217391304348,2.2,1.0,,0.0,0.5,0.4577777777777778,8.777777777777779,0.7142857142857143,-127.93103448275862,-297.6501886792453,20.833333333333332,2019-12-11 09:58:23.702,7.2,92.48366666666665,3234.6666666666665,405.36000000000007,,,,,0.1,,,-
23,-7.920021739130435,-60.0278888888889,181.30150943396222,0.5294117647058824,951.4736842105264,1.0,0.0,,0.05,0.5,0.40875,0.3333333333333333,1.0,-4052.076923076923,-303.98622222222235,18.903225806451612,2019-12-11 09:58:27.410,7.333333333333333,0.0,0.0,425.33,,,,,0.10000000000000002,,,-
24,-13.274884615384613,264.5843103448275,186.1098412698412,0.47619047619047616,951.4347826086956,1.0,0.8,74.45,0.05,0.5,0.48,6.333333333333333,0.8333333333333334,-528.75,-295.5813461538461,18.310344827586206,2019-12-11 09:58:30.688,7.5,111.7924,3599.8,434.562,,,,,0.05,,,-
25,-10.807618181818185,63.48185185185181,170.87016129032253,0.5,951.5,1.4,0.8,,,,0.5333333333333333,15.2,0.8333333333333334,-1879.962962962963,-296.10920000000016,19.137931034482758,2019-12-11 09:58:34.092,7.5,94.73940000000002,3600.8,450.03999999999996,,,,,0.05,,,-
26,-6.01564705882353,292.5938799999999,186.31711864406785,0.6521739130434783,951.5217391304348,1.4,0.5,,,0.5,0.3712500000000001,6.916666666666667,0.8333333333333334,-310.0,-293.61042553191487,21.26923076923077,2019-12-11 09:58:37.546,7.5,115.3114,3599.8,464.562,,,,,0.06666666666666667,,,-
27,-30.53764814814815,271.4728888888888,180.45967741935482,0.5,951.4782608695652,1.75,1.0,,,0.5,0.4466666666666666,24.076923076923077,2.764705882352941,-14.035714285714286,-293.64,19.512820512820515,2019-12-11 09:58:41.000,7.5,534.901111111111,-16000.333333333334,404.40222222222224,,,53.68950000000001,2000.0,0.1,-374.4422222222222,2.5,-
28,-8.682905660377353,316.09391999999997,179.6686764705882,0.5217391304347826,951.5217391304348,0.4,0.5,,0.05,,0.2425,8.0,0.9,-62.2,-296.42472727272724,20.17142857142857,2019-12-11 09:58:44.649,6.5,97.71699999999998,3601.2,359.68199999999996,,,,,,,,-
29,-23.568937499999993,310.89469230769225,182.31982758620688,0.4782608695652174,951.4,1.0,0.5,,0.05,,0.305,5.642857142857143,0.8333333333333334,-42.46666666666667,-292.0113333333334,21.51851851851852,2019-12-11 09:58:48.110,6.5,98.5288,3601.8,374.92199999999997,,,,,,,,-
30,0.39943749999999434,273.47611111111104,178.64196721311478,0.5217391304347826,951.5,1.6,1.0,,,,0.6325000000000001,7.222222222222222,0.8333333333333334,-25.0,-295.7947916666667,21.233333333333334,2019-12-11 09:58:51.557,7.5,99.61160000000001,3601.2,389.68199999999996,,,,,0.1,,,-
31,-9.970940000000002,254.58364285714285,182.5073015873016,0.48,951.5,1.1666666666666667,0.5,,,0.5,0.4275,9.625,1.0,-50.37931034482759,-297.0278431372548,21.548387096774192,2019-12-11 09:58:54.993,7.5,112.3338,3599.8,404.562,,,,,0.15000000000000002,,,-
32,-14.991181818181817,241.68886206896548,173.0026666666667,0.5263157894736842,951.5,1.6666666666666667,0.75,,,0.5,0.4342857142857143,8.3,0.8333333333333334,-41.206896551724135,-294.8286956521739,20.08823529411765,2019-12-11 09:58:58.452,7.5,112.33359999999998,3599.4,419.322,27.15,,,,0.03333333333333333,,,-
33,-7.811962962962961,300.6111428571429,189.3141666666667,0.5384615384615384,951.5217391304348,1.4285714285714286,1.0,,,0.5,0.41857142857142854,9.777777777777779,1.0,-67.35714285714286,-292.08222222222224,20.233333333333334,2019-12-11 09:59:01.903,7.5,96.09283333333333,3235.3333333333335,435.76,27.169999999999998,,,,0.06666666666666667,,,-
34,-6.1504339622641435,372.6576153846154,185.61935483870968,0.5909090909090909,951.48,1.5,0.0,,,0.5,0.3144444444444444,12.166666666666666,0.8333333333333334,120.3103448275862,-294.11918367346937,18.97142857142857,2019-12-11 09:59:05.414,7.5,115.37875000000001,3410.8,452.40599999999995,27.165,,,,0.1,,,-
35,-10.09201754385965,338.4748799999999,165.20258064516122,0.5,951.4516129032259,1.25,1.0,,0.05,,0.35125000000000006,10.125,0.8888888888888888,-10.294117647058824,-295.255576923077,20.0,2019-12-11 09:59:08.860,7.5,109.62675,4382.75,465.96,27.165,,,,0.15000000000000002,,,-
36,1.7754259259259284,638.7126249999999,174.55609374999997,0.5833333333333334,951.5,1.3333333333333333,0.5,74.44,,0.5,0.38166666666666677,22.272727272727273,3.4,3009.4333333333334,-301.2619607843138,20.625,2019-12-11 09:59:12.303,7.5,543.9237777777778,-16001.333333333334,401.2022222222222,27.159999999999997,,67.818,2000.2222222222222,,-359.03888888888883,,-
