Unnamed: 0,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.C1_Axis.Actual_Power,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
19,-6.72801754385965,260.56996774193544,188.0232835820895,0.5769230769230769,951.5,1.3333333333333333,0.5,,,,0.4122222222222223,7.9,0.75,-77.65517241379311,-295.88499999999993,21.482758620689655,2019-12-11 09:58:13.335,6.5,83.91199999999995,3600.4,359.20199999999994,,,,,0.10000000000000002,,,n.i.O.,n.i.O.,i.O.,21,20
20,-6.746666666666669,238.7886875,176.3945454545454,0.5238095238095238,951.5,1.75,1.0,,0.05,0.5,0.5562499999999999,7.5555555555555545,0.75,-57.41935483870968,-297.90481481481487,19.24324324324324,2019-12-11 09:58:16.783,,68.57300000000002,2367.5,373.5125,27.2,,,,0.06666666666666668,,,i.O.,n.i.O.,i.O.,21,21
21,-14.57286,-77.54426923076917,173.3857142857143,0.5,951.5,0.3333333333333333,0.8,,0.1,0.5,0.3425,6.857142857142858,0.8333333333333334,3353.9545454545455,-300.8072916666667,19.846153846153847,2019-12-11 09:58:20.287,7.5,276.99966666666666,2617.0,386.3666666666666,27.19,,,,0.05,,,i.O.,n.i.O.,i.O.,21,22
22,-7.474864406779656,263.4909310344827,182.61791044776126,0.4761904761904762,951.5217391304348,2.2,1.0,,0.0,0.5,0.4577777777777778,8.777777777777779,0.7142857142857143,-127.93103448275862,-297.6501886792453,20.83333333333333,2019-12-11 09:58:23.702,7.2,92.48366666666664,3234.666666666666,405.36000000000007,,,,,0.1,,,i.O.,n.i.O.,i.O.,21,23
23,-7.920021739130435,-60.0278888888889,181.30150943396225,0.5294117647058824,951.4736842105265,1.0,0.0,,0.05,0.5,0.40875,0.3333333333333333,1.0,-4052.0769230769233,-303.98622222222235,18.90322580645161,2019-12-11 09:58:27.410,7.333333333333332,0.0,0.0,425.33,,,,,0.10000000000000002,,,n.i.O.,n.i.O.,i.O.,21,24
24,-13.274884615384615,264.5843103448275,186.10984126984118,0.4761904761904762,951.4347826086956,1.0,0.8,74.45,0.05,0.5,0.48,6.333333333333332,0.8333333333333334,-528.75,-295.58134615384614,18.310344827586206,2019-12-11 09:58:30.688,7.5,111.7924,3599.8,434.56199999999995,,,,,0.05,,,n.i.O.,n.i.O.,i.O.,21,25
25,-10.807618181818183,63.481851851851815,170.87016129032253,0.5,951.5,1.4,0.8,,,,0.5333333333333333,15.2,0.8333333333333334,-1879.962962962963,-296.1092000000002,19.13793103448276,2019-12-11 09:58:34.092,7.5,94.73940000000002,3600.8,450.04,,,,,0.05,,,i.O.,n.i.O.,i.O.,21,26
26,-6.0156470588235305,292.5938799999999,186.31711864406785,0.6521739130434783,951.5217391304348,1.4,0.5,,,0.5,0.3712500000000001,6.916666666666668,0.8333333333333334,-310.0,-293.61042553191487,21.26923076923077,2019-12-11 09:58:37.546,7.5,115.3114,3599.8,464.56199999999995,,,,,0.06666666666666668,,,i.O.,n.i.O.,i.O.,21,27
27,-30.53764814814815,271.4728888888888,180.45967741935482,0.5,951.4782608695652,1.75,1.0,,,0.5,0.4466666666666666,24.07692307692308,2.764705882352941,-14.035714285714285,-293.64,19.512820512820515,2019-12-11 09:58:41.000,7.5,534.9011111111109,-16000.333333333336,404.40222222222224,,,53.68950000000001,2000.0,0.1,-374.4422222222222,2.5,n.i.O.,n.i.O.,n.i.O.,21,28
28,-8.682905660377353,316.09392,179.6686764705882,0.5217391304347826,951.5217391304348,0.4,0.5,,0.05,,0.2425,8.0,0.9,-62.2,-296.42472727272724,20.17142857142857,2019-12-11 09:58:44.649,6.5,97.71699999999998,3601.2,359.682,,,,,,,,n.i.O.,n.i.O.,i.O.,21,29
