,Unnamed: 0,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
10,10,3.5952499999999983,280.7984074074073,182.80245901639344,0.4736842105263158,951.4782608695652,1.25,0.0,0.05,0.5,0.4214285714285714,9.444444444444443,0.7,-38.481481481481474,-293.75895833333334,20.818181818181817,2019-12-11 09:25:28.856,7.0,94.401,3598.0,358.602,26.185,,,0.05,,,,n.i.O.,n.i.O.,i.O.,20,11
11,11,-10.2266,282.0416666666667,178.6687931034483,0.6086956521739131,951.5238095238096,1.25,0.8,0.05,0.5,0.38625,6.2857142857142865,0.75,-168.07142857142858,-293.1744680851064,18.75,2019-12-11 09:25:32.255,7.166666666666668,65.50540000000002,3597.4,373.36400000000003,26.185,23.535,,0.05,,,74.65,n.i.O.,n.i.O.,i.O.,20,12
12,12,-3.5953124999999977,838.8203000000002,181.617,0.4814814814814815,951.4814814814816,1.25,1.25,0.05,0.5,0.3700000000000001,5.4375,0.75,1411.0,-297.04583333333346,16.1,2019-12-11 09:25:35.718,7.0,63.881400000000006,3597.2,390.07,26.185,23.55,,0.10000000000000002,,,,n.i.O.,n.i.O.,i.O.,20,13
13,13,-7.190624999999998,582.8869473684211,169.7376271186441,0.5217391304347826,951.4583333333335,1.5,0.0,0.05,0.5,0.4471428571428572,9.5,0.75,355.36,-294.4606818181818,21.9,2019-12-11 09:25:39.158,7.166666666666668,65.50539999999998,3602.0,404.62,26.185,23.535,,0.11666666666666665,,,,n.i.O.,n.i.O.,i.O.,20,14
14,14,-10.785812500000002,361.048625,179.27466666666672,0.48,951.5,1.75,0.75,,0.5,0.3614285714285714,8.2,0.8333333333333334,-38.653846153846146,-294.56613636363636,20.7,2019-12-11 09:25:42.603,7.5,89.05499999999998,3602.2,420.16,26.19,23.535,,,,,,i.O.,n.i.O.,i.O.,20,15
15,15,-5.63958823529412,322.19275,186.50689655172414,0.5,951.4444444444445,2.0,1.25,,0.5,0.6122222222222222,9.777777777777779,0.8333333333333334,126.10344827586206,-294.00666666666666,15.545454545454545,2019-12-11 09:25:46.055,7.5,114.7698,3600.2,434.802,26.185,23.52,,0.10000000000000002,,,,i.O.,n.i.O.,i.O.,20,16
16,16,-7.190500000000001,597.8432272727273,180.33898305084745,0.48,951.44,2.2,1.0,,0.5,0.7583333333333333,10.142857142857142,0.8333333333333334,781.36,-293.97680851063836,19.30769230769231,2019-12-11 09:25:49.564,7.5,96.36339999999998,3077.5,450.43,26.18200000000001,23.540000000000006,,0.15000000000000002,,,,i.O.,n.i.O.,i.O.,20,17
17,17,1.198375000000003,257.6920833333334,178.88883333333337,0.5833333333333334,951.4545454545456,0.4,0.0,,0.5,0.2683333333333333,13.666666666666664,0.8333333333333334,1259.8214285714287,-295.0804166666666,20.166666666666668,2019-12-11 09:25:53.058,7.5,110.64225,4382.75,465.96,26.19,23.535,,0.15000000000000002,,,,i.O.,n.i.O.,i.O.,20,18
18,18,-13.535117647058831,302.5908,189.25741935483876,0.5,951.48,1.0,0.5,,,0.46625,26.08333333333333,2.8235294117647056,3811.5454545454545,-300.45739999999995,16.727272727272727,2019-12-11 09:25:56.459,7.5,578.7553750000002,-15651.333333333336,407.40428571428566,,,54.97362500000001,0.13333333333333333,2201.5,-389.81571428571436,,i.O.,n.i.O.,i.O.,20,19
19,19,-11.279352941176471,354.53495454545464,173.37053571428572,0.4761904761904762,951.5238095238096,1.1428571428571428,1.0,0.06666666666666668,,0.43625,2.071428571428572,0.75,3912.304347826087,-302.70857142857153,18.0,2019-12-11 09:26:00.284,,-56.39233333333334,1763.5,364.895,,23.535,,0.08333333333333333,,,,n.i.O.,n.i.O.,i.O.,20,20
