Date,Time,Program,Workpiece no.,Testpoint,Plane,Probe no.,Cycle,S_MVAR,Measuring variant,Results,Setpoint,Measured,Difference,Unit
2019-11-20,12:17:09,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.018,0.009,mm
2019-11-20,12:17:14,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,135.0,134.993,-0.007,mm
2019-11-20,12:17:14,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,60.0,60.004,0.004,mm
2019-11-20,12:17:14,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:17:22,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,15.0,14.996,-0.004,mm
2019-11-20,12:17:22,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,75.0,74.999,-0.0,mm
2019-11-20,12:17:22,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:17:27,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,30.0,29.98,-0.02,mm
2019-11-20,12:17:27,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,75.0,75.006,0.006,mm
2019-11-20,12:17:27,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.017,0.008,mm
2019-11-20,12:17:32,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,45.0,45.003,0.003,mm
2019-11-20,12:17:32,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,75.0,74.989,-0.011,mm
2019-11-20,12:17:32,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.02,0.011,mm
2019-11-20,12:17:37,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,60.0,59.987,-0.013,mm
2019-11-20,12:17:37,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,75.0,75.02,0.02,mm
2019-11-20,12:17:37,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.016,0.007,mm
2019-11-20,12:17:42,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,75.0,75.018,0.018,mm
2019-11-20,12:17:42,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,75.0,75.045,0.045,mm
2019-11-20,12:17:42,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.018,0.009,mm
2019-11-20,12:17:46,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,90.0,89.985,-0.015,mm
2019-11-20,12:17:46,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,75.0,75.001,0.001,mm
2019-11-20,12:17:46,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:17:51,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,105.0,105.008,0.008,mm
2019-11-20,12:17:51,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,75.0,74.99,-0.01,mm
2019-11-20,12:17:51,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.02,0.011,mm
2019-11-20,12:17:56,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,120.0,119.989,-0.011,mm
2019-11-20,12:17:56,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,75.0,74.999,-0.0,mm
2019-11-20,12:17:56,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.018,0.009,mm
2019-11-20,12:18:01,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,135.0,134.998,-0.002,mm
2019-11-20,12:18:01,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,75.0,75.004,0.004,mm
2019-11-20,12:18:01,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.021,0.012,mm
2019-11-20,12:18:09,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,15.0,14.993,-0.007,mm
