Messungen Bohrung 12H7;;;;;;;;
Bezeichnung:;;;;;;;;
0101;;;> Ebene 1 Bohrung 1;;;;;
0102;;;> Ebene 1 Bohrung 2;;;;;
0201;;;> Ebene 2 Bohrung 1;;;;;
;;;;;;;;
;;;;;;;;
Bezeichnung Bohrung;Ebene;Bohrung;Messwert Innenmessschraube;Messwert Messtaster;Klassifizierung nach Messchraube;Klassifizierung nach Messtaster;Klassifizierung nach Grenzlehrdorn;
0255;2;55;12,014;12,018;i.O.;i.O.;i.O.;
0256;2;56;12,014;12,018;i.O.;i.O.;i.O.;
0257;2;57;12,013;12,018;i.O.;i.O.;i.O.;
0258;2;58;12,014;12,02;i.O.;n.i.O.;i.O.;
0259;2;59;12,014;12,016;i.O.;i.O.;i.O.;
0260;2;60;12,014;12,019;i.O.;n.i.O.;i.O.;
0261;2;61;12,014;12,016;i.O.;i.O.;i.O.;
0262;2;62;12,014;12,017;i.O.;i.O.;i.O.;
0263;2;63;12,015;12,019;i.O.;n.i.O.;i.O.;
0264;2;64;12,014;12,017;i.O.;i.O.;i.O.;
0265;2;65;12,015;12,02;i.O.;n.i.O.;i.O.;
0266;2;66;12,014;12,017;i.O.;i.O.;i.O.;
0267;2;67;12,014;12,017;i.O.;i.O.;i.O.;
0268;2;68;12,014;12,02;i.O.;n.i.O.;i.O.;
0269;2;69;12,015;12,017;i.O.;i.O.;i.O.;
0270;2;70;12,014;12,017;i.O.;i.O.;i.O.;
0271;2;71;12,014;12,019;i.O.;n.i.O.;i.O.;
0272;2;72;12,014;12,018;i.O.;i.O.;i.O.;
0273;2;73;12,015;12,019;i.O.;n.i.O.;i.O.;
0274;2;74;12,015;12,018;i.O.;i.O.;i.O.;
0275;2;75;12,015;12,018;i.O.;i.O.;i.O.;
0276;2;76;12,015;12,018;i.O.;i.O.;i.O.;
0277;2;77;12,015;12,018;i.O.;i.O.;i.O.;
0278;2;78;12,015;12,021;i.O.;n.i.O.;i.O.;
0279;2;79;12,015;12,02;i.O.;n.i.O.;i.O.;
0280;2;80;12,016;12,018;i.O.;i.O.;i.O.;
0281;2;81;12,015;12,018;i.O.;i.O.;i.O.;
0301;3;1;12,013;12,022;i.O.;n.i.O.;i.O.;
0302;3;2;12,013;12,023;i.O.;n.i.O.;i.O.;
0303;3;3;12,012;12,017;i.O.;i.O.;i.O.;
0304;3;4;12,013;12,023;i.O.;n.i.O.;i.O.;
0305;3;5;12,013;12,02;i.O.;n.i.O.;i.O.;
0306;3;6;12,012;12,02;i.O.;n.i.O.;i.O.;
0307;3;7;12,013;12,019;i.O.;n.i.O.;i.O.;
0308;3;8;12,012;12,019;i.O.;n.i.O.;i.O.;
0309;3;9;12,013;12,019;i.O.;n.i.O.;i.O.;
0310;3;10;12,012;12,02;i.O.;n.i.O.;i.O.;
0311;3;11;12,013;12,023;i.O.;n.i.O.;i.O.;
0312;3;12;12,012;12,017;i.O.;i.O.;i.O.;
0313;3;13;12,013;12,018;i.O.;i.O.;i.O.;
0314;3;14;12,012;12,02;i.O.;n.i.O.;i.O.;
0315;3;15;12,012;12,02;i.O.;n.i.O.;i.O.;
0316;3;16;12,013;12,018;i.O.;i.O.;i.O.;
0317;3;17;12,013;12,018;i.O.;i.O.;i.O.;
0318;3;18;12,012;12,017;i.O.;i.O.;i.O.;
0319;3;19;12,014;12,021;i.O.;n.i.O.;i.O.;
0320;3;20;12,013;12,019;i.O.;n.i.O.;i.O.;
0321;3;21;12,012;12,018;i.O.;i.O.;i.O.;
0322;3;22;12,014;12,02;i.O.;n.i.O.;i.O.;
0323;3;23;12,013;12,02;i.O.;n.i.O.;i.O.;
0324;3;24;12,013;12,021;i.O.;n.i.O.;i.O.;
0325;3;25;12,013;12,016;i.O.;i.O.;i.O.;
0326;3;26;12,013;12,017;i.O.;i.O.;i.O.;
0327;3;27;12,013;12,016;i.O.;i.O.;i.O.;
0328;3;28;12,013;12,019;i.O.;n.i.O.;i.O.;
0329;3;29;12,013;12,016;i.O.;i.O.;i.O.;
0330;3;30;12,013;12,02;i.O.;n.i.O.;i.O.;
0331;3;31;12,013;12,02;i.O.;n.i.O.;i.O.;
0332;3;32;12,013;12,021;i.O.;n.i.O.;i.O.;
0333;3;33;12,013;12,02;i.O.;n.i.O.;i.O.;
0334;3;34;12,013;12,02;i.O.;n.i.O.;i.O.;
0335;3;35;12,013;12,016;i.O.;i.O.;i.O.;
0336;3;36;12,013;12,018;i.O.;i.O.;i.O.;
0337;3;37;12,013;12,019;i.O.;n.i.O.;i.O.;
0338;3;38;12,013;12,018;i.O.;i.O.;i.O.;
0339;3;39;12,013;12,018;i.O.;i.O.;i.O.;
0340;3;40;12,013;12,022;i.O.;n.i.O.;i.O.;
0341;3;41;12,013;12,016;i.O.;i.O.;i.O.;
0342;3;42;12,014;12,018;i.O.;i.O.;i.O.;
0343;3;43;12,013;12,018;i.O.;i.O.;i.O.;
0344;3;44;12,012;12,016;i.O.;i.O.;i.O.;
0345;3;45;12,013;12,019;i.O.;n.i.O.;i.O.;
0346;3;46;12,013;12,013;i.O.;i.O.;i.O.;
0347;3;47;12,013;12,018;i.O.;i.O.;i.O.;
0348;3;48;12,013;12,019;i.O.;n.i.O.;i.O.;
0349;3;49;12,013;12,017;i.O.;i.O.;i.O.;
0350;3;50;12,013;12,018;i.O.;i.O.;i.O.;
0351;3;51;12,013;12,018;i.O.;i.O.;i.O.;
0352;3;52;12,013;12,02;i.O.;n.i.O.;i.O.;
0353;3;53;12,013;12,017;i.O.;i.O.;i.O.;
0354;3;54;12,013;12,017;i.O.;i.O.;i.O.;
0355;3;55;12,013;12,019;i.O.;n.i.O.;i.O.;
0356;3;56;12,013;12,022;i.O.;n.i.O.;i.O.;
0357;3;57;12,013;12,018;i.O.;i.O.;i.O.;
0358;3;58;12,013;12,018;i.O.;i.O.;i.O.;
0359;3;59;12,013;12,017;i.O.;i.O.;i.O.;
0360;3;60;12,012;12,018;i.O.;i.O.;i.O.;
0361;3;61;12,012;12,017;i.O.;i.O.;i.O.;
0362;3;62;12,012;12,018;i.O.;i.O.;i.O.;
0363;3;63;12,013;12,018;i.O.;i.O.;i.O.;
0364;3;64;12,013;12,019;i.O.;n.i.O.;i.O.;
0365;3;65;12,014;12,016;i.O.;i.O.;i.O.;
0366;3;66;12,014;12,018;i.O.;i.O.;i.O.;
0367;3;67;12,014;12,018;i.O.;i.O.;i.O.;
0368;3;68;12,013;12,021;i.O.;n.i.O.;i.O.;
0369;3;69;12,014;12,02;i.O.;n.i.O.;i.O.;
0370;3;70;12,013;12,021;i.O.;n.i.O.;i.O.;
0371;3;71;12,013;12,016;i.O.;i.O.;i.O.;
0372;3;72;12,013;12,018;i.O.;i.O.;i.O.;
0373;3;73;12,013;12,02;i.O.;n.i.O.;i.O.;
0374;3;74;12,013;12,017;i.O.;i.O.;i.O.;
0375;3;75;12,013;12,017;i.O.;i.O.;i.O.;
0376;3;76;12,013;12,016;i.O.;i.O.;i.O.;
0377;3;77;12,012;12,016;i.O.;i.O.;i.O.;
0378;3;78;12,012;12,019;i.O.;n.i.O.;i.O.;
0379;3;79;12,013;12,016;i.O.;i.O.;i.O.;
0380;3;80;12,012;12,015;i.O.;i.O.;i.O.;
0381;3;81;12,013;12,018;i.O.;i.O.;i.O.;
0401;4;1;12,012;12,019;i.O.;n.i.O.;i.O.;
0402;4;2;12,012;12,019;i.O.;n.i.O.;i.O.;
0403;4;3;12,011;12,021;i.O.;n.i.O.;i.O.;
0404;4;4;12,012;12,020;i.O.;n.i.O.;i.O.;
0405;4;5;12,012;12,019;i.O.;n.i.O.;i.O.;
0406;4;6;12,013;12,024;i.O.;n.i.O.;i.O.;
0407;4;7;12,013;12,020;i.O.;n.i.O.;i.O.;
0408;4;8;12,012;12,019;i.O.;n.i.O.;i.O.;
0409;4;9;12,012;12,021;i.O.;n.i.O.;i.O.;
0410;4;10;12,012;12,022;i.O.;n.i.O.;i.O.;
0411;4;11;12,013;12,022;i.O.;n.i.O.;i.O.;
0412;4;12;12,013;12,018;i.O.;i.O.;i.O.;
0413;4;13;12,013;12,025;i.O.;n.i.O.;i.O.;
0414;4;14;12,013;12,024;i.O.;n.i.O.;i.O.;
0415;4;15;12,013;12,019;i.O.;n.i.O.;i.O.;
0416;4;16;12,013;12,022;i.O.;n.i.O.;i.O.;
0417;4;17;12,012;12,027;i.O.;n.i.O.;i.O.;
0418;4;18;12,013;12,025;i.O.;n.i.O.;i.O.;
0419;4;19;12,012;12,021;i.O.;n.i.O.;i.O.;
0420;4;20;12,013;12,024;i.O.;n.i.O.;i.O.;
0421;4;21;12,014;12,022;i.O.;n.i.O.;i.O.;
0422;4;22;12,013;12,022;i.O.;n.i.O.;i.O.;
0423;4;23;12,013;12,021;i.O.;n.i.O.;i.O.;
0424;4;24;12,013;12,021;i.O.;n.i.O.;i.O.;
0425;4;25;12,013;12,018;i.O.;i.O.;i.O.;
0426;4;26;12,013;12,019;i.O.;n.i.O.;i.O.;
0427;4;27;12,013;12,024;i.O.;n.i.O.;i.O.;
0428;4;28;12,013;12,021;i.O.;n.i.O.;i.O.;
0429;4;29;12,014;12,028;i.O.;n.i.O.;i.O.;
0430;4;30;12,013;12,021;i.O.;n.i.O.;i.O.;
0431;4;31;12,012;12,021;i.O.;n.i.O.;i.O.;
0432;4;32;12,013;12,024;i.O.;n.i.O.;i.O.;
0433;4;33;12,013;12,020;i.O.;n.i.O.;i.O.;
0434;4;34;12,014;12,022;i.O.;n.i.O.;i.O.;
0435;4;35;12,013;12,022;i.O.;n.i.O.;i.O.;
0436;4;36;12,014;12,021;i.O.;n.i.O.;i.O.;
0437;4;37;12,013;12,020;i.O.;n.i.O.;i.O.;
0438;4;38;12,013;12,021;i.O.;n.i.O.;i.O.;
0439;4;39;12,013;12,021;i.O.;n.i.O.;i.O.;
0440;4;40;12,013;12,021;i.O.;n.i.O.;i.O.;
0441;4;41;12,014;12,020;i.O.;n.i.O.;i.O.;
0442;4;42;12,012;12,026;i.O.;n.i.O.;i.O.;
0443;4;43;12,013;12,019;i.O.;n.i.O.;i.O.;
0444;4;44;12,014;12,019;i.O.;n.i.O.;i.O.;
0445;4;45;12,014;12,019;i.O.;n.i.O.;i.O.;
0446;4;46;12,012;12,021;i.O.;n.i.O.;i.O.;
0447;4;47;12,014;12,020;i.O.;n.i.O.;i.O.;
0448;4;48;12,013;12,017;i.O.;i.O.;i.O.;
0449;4;49;12,014;12,022;i.O.;n.i.O.;i.O.;
0450;4;50;12,014;12,019;i.O.;n.i.O.;i.O.;
0451;4;51;12,013;12,023;i.O.;n.i.O.;i.O.;
0452;4;52;12,013;12,019;i.O.;n.i.O.;i.O.;
0453;4;53;12,013;12,015;i.O.;i.O.;i.O.;
0454;4;54;12,013;12,017;i.O.;i.O.;i.O.;
0455;4;55;12,014;12,022;i.O.;n.i.O.;i.O.;
0456;4;56;12,012;12,018;i.O.;i.O.;i.O.;
0457;4;57;12,013;12,023;i.O.;n.i.O.;i.O.;
