Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.C1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Y1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
20,7.5,,9.218750000000004,422.8405714285714,190.43788732394367,0.4883720930232558,317.11764705882354,2.0,0.5,,,0.5,0.7142857142857143,24.968000000000004,-166.84615384615384,-308.28217391304355,14.416666666666664,2019-11-27 09:22:16.409,-52.1065,1986.0,377.2766666666667,7.0,0.1863636363636364,,,,,i.O.,n.i.O.,i.O.,8,21
21,7.0,,4.6959183673469385,229.066,173.35057142857147,0.5,317.3333333333333,0.5,1.0,74.46,,0.5,0.7142857142857143,24.96384615384615,-8.071428571428571,-308.31898550724634,15.72,2019-11-27 09:22:30.637,170.982,705.5,396.79,1.0625,0.15000000000000002,,,,,i.O.,n.i.O.,i.O.,8,22
22,7.2,,5.788679245283018,-102.57942857142856,178.77671428571426,0.5,317.23809523809524,2.0,0.0,,,0.5,0.8,24.96615384615384,126.0,-308.3301449275362,13.911764705882351,2019-11-27 09:22:44.621,410.086,0.0,411.68,11.666666666666664,0.17000000000000007,,,,,i.O.,n.i.O.,i.O.,8,23
23,7.5,,5.3263703703703715,269.58900000000006,184.9347887323944,0.5,317.5,1.0,0.8333333333333334,,,,0.75,24.965,49.77777777777778,-306.9408571428571,13.041666666666664,2019-11-27 09:22:58.625,4.0605,3682.0,423.1333333333334,3.5,0.21666666666666667,26.83333333333333,,,,i.O.,n.i.O.,i.O.,8,24
24,7.5,,5.3690000000000015,425.95584615384627,186.6954285714286,0.5,317.3125,1.75,1.0,74.45,,0.5,0.75,24.965,-7.526315789473684,-308.14044117647063,16.043478260869566,2019-11-27 09:23:12.824,-201.6595,0.0,441.68,7.75,0.21666666666666667,26.835,,,,i.O.,n.i.O.,i.O.,8,25
25,7.2,,4.511764705882354,108.0313076923077,181.26828571428572,0.5,317.1111111111111,0.0,0.5,,,0.5,1.0,24.965,-3.75,-308.2873913043478,15.535714285714285,2019-11-27 09:23:26.837,78.4985,2775.0,455.79,1.6,0.25,,,,,i.O.,n.i.O.,i.O.,8,26
26,7.5,,7.286460000000001,-93.59309090909086,170.48357142857142,0.5,317.25,1.6666666666666667,1.0,,,0.5,0.75,,311.22222222222223,-308.3353623188406,14.130434782608695,2019-11-27 09:23:40.847,345.7985,373.5,471.635,3.571428571428572,0.2434782608695652,,,32.0,,i.O.,n.i.O.,i.O.,8,27
27,7.0,,7.533035714285716,379.69941666666665,176.9387499999999,0.5,317.25,1.3333333333333333,0.5,74.44,,,1.3,,-9.0,-306.9335714285714,13.846153846153848,2019-11-27 09:23:54.832,586.0303333333333,-7351.75,387.2425,2.363636363636364,0.2076923076923077,26.805,62.68,2227.0,-369.3566666666666,i.O.,n.i.O.,i.O.,8,28
28,7.5,,9.970939999999999,289.86475,183.39285714285708,0.5,317.46153846153845,1.5,0.0,,,0.5,0.6363636363636364,,-32.6,-308.16250000000014,16.80952380952381,2019-11-27 09:24:09.278,-259.8565,0.0,366.68,11.0,0.2478260869565217,26.802,,,,i.O.,n.i.O.,i.O.,8,29
29,7.0,2.6666666666666665,9.587446428571429,-81.48961538461532,181.14614285714288,0.5,317.23809523809524,0.75,1.0,74.43,,0.5,0.6666666666666666,,251.5,-308.28898550724637,17.75,2019-11-27 09:24:23.261,297.752,373.5,381.635,7.333333333333332,0.25,26.805,,,,i.O.,n.i.O.,i.O.,8,30
30,7.5,,3.5219387755102036,-17.463909090909056,173.59842857142849,0.5,317.46666666666664,1.6666666666666667,0.0,,,,0.7,,107.84615384615385,-308.3149275362319,15.0,2019-11-27 09:24:37.244,81.205,4477.0,392.915,3.625,0.25,26.805,,,,i.O.,n.i.O.,i.O.,8,31
31,7.5,,8.11248076923077,458.1317272727272,180.73070422535218,0.5,317.29411764705884,2.0,1.0,,,,0.7142857142857143,,-104.42857142857143,-308.3195652173913,14.705882352941178,2019-11-27 09:24:51.261,-4.737,3603.666666666666,414.25666666666666,2.5,0.2375,26.805,,,,i.O.,n.i.O.,i.O.,8,32
32,7.5,,7.519549019607843,282.249,182.57,0.5116279069767442,317.4,0.5,0.8333333333333334,74.42,,0.5,0.75,,-82.84615384615384,-308.1605882352941,17.368421052631582,2019-11-27 09:25:05.468,-225.34400000000002,0.0,426.68,3.333333333333333,0.25,26.805,,,,i.O.,n.i.O.,i.O.,8,33
33,7.2,,12.669089285714287,-90.98928571428571,187.99128571428574,0.5,317.23076923076917,2.5,1.0,,,0.5,1.0,,97.0,-308.32347826086954,16.4,2019-11-27 09:25:19.465,329.5575,2447.5,440.96,8.666666666666666,0.25,,,,,i.O.,n.i.O.,i.O.,8,34
