,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.C1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,Label
10,6.5,-7.669849999999999,330.8187500000001,190.17100000000002,0.5454545454545454,951.5,2.0,0.8,,0.05000000000000001,0.06666666666666667,,0.20777777777777776,0.8,-70.3076923076923,-304.0226315789473,14.5,2019-12-16 08:57:03.402,2447.5,364.615,5.333333333333333,330.234,,,,,,,-
11,6.5,-6.391555555555557,-178.8924166666667,172.25199999999998,0.46153846153846156,951.4285714285714,2.0,1.0,,0.05000000000000001,0.03333333333333333,,0.17999999999999997,0.8,-105.36363636363636,-302.5044444444444,19.714285714285715,2019-12-16 08:57:07.409,4261.0,377.745,7.0,291.6615,,,,,4.0,21.44,-
12,6.5,-0.00010000000000331966,-196.5795,190.331,0.5,951.5555555555555,1.6,0.5,,0.08333333333333333,0.05,,0.177,0.6,17.785714285714285,-304.0121052631579,21.714285714285715,2019-12-16 08:57:11.407,4252.0,390.395,1.0,10.1505,,,,,3.0,21.430000000000003,-
13,6.5,-13.422349999999998,83.49815384615385,190.41299999999998,0.5555555555555556,951.4285714285714,1.5,1.0,,0.09999999999999999,0.05,0.5,0.17777777777777778,0.75,29.25,-304.0531578947368,23.0,2019-12-16 08:57:15.525,2418.5,403.53499999999997,7.333333333333333,10.1505,74.22,,,,,21.44,-
14,6.5,-7.669849999999995,407.83099999999996,172.493,0.45454545454545453,951.5555555555555,2.0,0.5,,0.04,0.05,,0.13666666666666666,0.3333333333333333,182.4,-304.0794736842105,16.923076923076923,2019-12-16 08:57:19.399,360.0,417.87,9.2,-5.4135,,,,,,21.435000000000002,-
15,6.5,-1.0091578947368403,615.1376363636364,185.2614285714286,0.5,951.5,2.2,1.0,27.255,0.05,0.06666666666666667,0.5,0.18181818181818182,1.0,54.53846153846154,-304.06842105263155,15.75,2019-12-16 08:57:23.406,140.5,440.32,6.666666666666667,-200.9825,,,,,,,-
16,,-14.913722222222223,656.1355,183.459,0.5454545454545454,951.4285714285714,2.2,0.5,,0.08333333333333333,0.0,,0.14,0.75,-155.5,-304.02526315789464,15.0,2019-12-16 08:57:27.638,1763.5,454.895,4.5,-205.043,,,,,,21.42,-
17,,-7.669850000000002,447.2463999999999,183.53899999999996,0.45454545454545453,951.5555555555555,2.2,0.8,27.252,0.03333333333333333,,0.5,0.173,1.0,-124.0,-302.51,17.9375,2019-12-16 08:57:31.601,3980.5,468.29499999999996,5.166666666666667,-148.1995,,,,,,21.45,-
18,6.8,-10.151411764705884,196.3420909090909,178.30809523809526,0.5,951.5,2.4,0.8,,0.08333333333333333,0.1,0.5,0.18800000000000003,2.4285714285714284,-112.81818181818181,-303.9842105263158,25.272727272727273,2019-12-16 08:57:35.613,-12036.0,392.09,25.6,-102.40866666666686,,21.235999999999997,1501.3333333333333,-386.6966666666667,,,-
19,6.5,-1.1279411764705856,44.08372727272728,176.5025,0.5454545454545454,951.4444444444445,1.75,0.4,,0.05000000000000001,0.03333333333333333,0.5,0.172,0.6,105.16666666666667,-304.04157894736835,21.846153846153847,2019-12-16 08:57:39.869,3049.5,358.9,5.333333333333333,158.35,,,,,,,-
20,6.5,-4.261055555555554,-190.38184615384614,176.58249999999998,0.4444444444444444,951.5,1.5,0.8,,0.05,0.05,0.5,0.19714285714285715,0.3333333333333333,162.53846153846155,-304.0805263157894,19.454545454545453,2019-12-16 08:57:43.805,705.5,372.94,14.0,385.0475,,,,,,,-
21,6.5,-10.54615,-128.69064285714285,171.35285714285718,0.5,951.5,1.8571428571428572,1.0,,0.1142857142857143,0.05,0.5,0.188,0.8,194.0,-304.0757894736842,15.583333333333334,2019-12-16 08:57:47.806,23.0,395.33,6.5,110.07799999999999,,,,,,,-
22,,-3.19577777777778,-5.802555555555525,187.54849999999996,0.5454545454545454,951.5,1.3333333333333333,0.5,,0.06666666666666667,0.05,0.5,0.129,0.75,116.27272727272727,-304.04157894736835,14.7,2019-12-16 08:57:52.005,1185.0,410.09000000000003,2.0,0.6765,74.21,,,,,,-
23,6.5,4.511705882352943,231.64300000000003,169.62849999999997,0.46153846153846156,951.5,1.7142857142857142,1.0,,0.05,0.1,0.5,0.178,1.0,-230.77777777777777,-302.5205555555556,17.5,2019-12-16 08:57:56.006,3584.5,423.79999999999995,4.833333333333333,0.0,,,,,,,-
24,6.5,-14.381049999999998,591.0234444444444,187.7095,0.5,951.5555555555555,1.6,0.6666666666666666,,0.05,0.03333333333333333,0.5,0.20400000000000001,0.8,63.46153846153846,-303.99052631578934,23.454545454545453,2019-12-16 08:58:00.006,4477.0,436.57,4.0,-33.159,,,,,,,-
